ResponseId,Condition,Group,Stereotype1,Stereotype2,Stereotype3,Stereotype4,Stereotype5,Stereotype6,Stereotype7,Stereotype8,Stereotype9,Stereotype10,VALENCE,Status,Liking,Stereotype1_code_r,Stereotype2_code_r,Stereotype3_code_r,Stereotype4_code_r,Stereotype5_code_r,Stereotype6_code_r,Stereotype7_code_r,Stereotype8_code_r,Stereotype9_code_r,Stereotype10_code_r,class_child,class_now,SES,AMERICAN_ID,WHITE_ID,percentage_1,central,representative,US,US_ID_1,US_ID_2,US_ID_3,US_ID_4,US_ID_5,US_ID_6,US_ID_7,US_ID_8,US_ID_9,US_ID_10,gender,gender2,age,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_7_TEXT,race_ID_1,race_ID_2,race_ID_3,race_ID_4,race_ID_5,race_ID_6,race_ID_7,race_ID_8,State_child,State_now,self_redneck,self_hick,self_hillbilly,self_whitetrash,self_bluecollar,self_whitecollar,self_WASP,self_1percent,self_trustfund,self_coastalelite,group_others_1,group_others_2,group_others_3,group_others_4,group_others_5,group_others_6,group_others_7,group_others_8,group_others_9,group_others_10,race_ID_1r,race_ID_4r,race_ID_8r,Stereotype1_valence,Stereotype2_valence,Stereotype3_valence,Stereotype4_valence,Stereotype5_valence,Stereotype6_valence,Stereotype7_valence,Stereotype8_valence,Stereotype9_valence,Stereotype10_valence
R_d5tTX663fGZwABr,1,6,Jews,Whites,Coastal,Financiers,Bankers,Lawyers,Professionals,Highly educated,Liberal,Affluent,5.68714285714286,8,3,56,56,56,17,17,17,17,18,35,41,1,2,3,5.5,7,60,3,7,1,5,5,5,7,7,3,4,7,7,5,Male,1,33, , , , , ,1, , ,1,7,7,1,7,7,7,1,New Jersey,Texas, , , , ,1, , , , , , , , , , , , , , , ,7,7,7, , , ,5.24,5.24,5.24,5.24,7.24,6.9,4.71
R_3DuaecLR7m0NWK1,1,6,Rich,Privleged,Stuck up,Mostly white,Well educated,Come from good homes,Prideful,Hard working,Manipulative,Rude,3.80888888888889,8,3,41,38,1,56,18,38,1,7,52,42,4,3,6,7,2.75,59,1,5,1,7,7,7,7,7,7,7,7,7,7,Male,1,25, , , , , ,1, , ,7,4,1,7,5,4,4,6,Colorado,Alaska, , , , ,1, , , , , , , , , ,1, , , , , ,1,1,2,4.71,4.33,2.43, ,7.24,4.33,2.43,5.19,1.57,2.05
R_2QzwQXzPrEdmUjr,1,6,elite,1%,WASP,wealthy,untrustworthy,underhanded,silver spoon,embezzlers,schemers,liars,3.05222222222222,8,4,37,41,40,41,52,52,47,56,52,52,4,3,6,3.1,3.375,86,7,4,1,4,2,3,3,2,3,3,3,4,4,female,0,27, , , , , ,1, , ,3,3,3,6,3,3,4,4,Florida,Florida, , , , , , , , , , , , , , , , , , , ,1,5,2,4,5,4.71,4.1,4.71,1.57,1.57,2.67, ,1.57,1.57
R_2WJy1F1Wi9Xszdj,1,6,mostly male,conservative,Republican,middle class,well-off,controlling,uppity,clean-shaven,boring fashion,stressed,3.97285714285714,6,6,56,34,34,56,41,37,1,2,6,56,3,3,7,5.44444444444444,3,85,6,4,1, ,5,5,6,4,4,5,7,6,7,lady,0,33, , , , , ,1, , ,3,2,5,5,2,1,3,5,NJ,NJ, , , , , , , , , , , , , , , , ,1, ,1, ,5,3,3, ,2.81,2.81, ,4.71,5,2.43,6.43,3.62, 
R_2zCsPprgGcoW5HG,1,6,Inside people,Desk lovers,Mangment,Works in cubbies,Unhappy,Money seeking,Middle class,Overweight,Boring,Rule followers,3.56,5,5,13,56,17,56,56,29,56,56,6,56,3,4,8,5.3,3.375,81,5,6,1,5,5,5,6,5,6,5,5,6,5,Female,0,35, , , , , ,1, , ,3,2,1,4,3,2,3,1,Florida,Florida, , , , , , , , , , , , , , , , , , , , ,5,4,7,2.14, ,5.24, , ,3.24, , ,3.62, 
R_3Pi8FFBBI4jWmxd,1,6,rich,mean,cutthroat,male,high strung,boring,non-physical,lazy,entitled,white,3.238,7,2,41,42,56,56,56,6,56,22,12,56,4,4,7,2,2.625,90,6,4,1,2,2,2,2,2,3,1,3,1,2,Female,0,20, , , , , ,1, , ,4,2,1,5,2,2,1,2,Texas,Texas, , , , , , , , , , , , , , , , , , , , ,4,3,6,4.71,2.05, , , ,3.62, ,3.57,2.24, 
R_vZdyXzPK2y88nLP,1,6,office type workers,more mental work than physical,business types,live in the suburbs if not the city,dress formally,drive expensive cars,deal more with money than a product or service,can be hard working folks,"prefer city to country for vacations, etc",cogs in a wheel,5.25333333333333,6,4,17,56,17,56,2,28,56,7,28,56,3,3,5,6.2,3.5,66,5,4,1,7,6,7,7,7,6,6,4,6,6,male,1,52, , , , , ,1, , ,5,4,3,5,4,5,4,6,Kentucky,Ohio, , ,1, , , , , , , , , , ,1, , , , , , ,3,3,2,5.24, ,5.24, ,6.43,4.71, ,5.19,4.71, 
R_3g0pA2EYnIjWvNs,1,6,intelligent,powerful,sleezy,predators,entitled,dangerous,skilled,christian,sheltered,pure,4.534,8,4,20,37,56,56,12,56,56,40,31,56,4,3,5,5.1,4,95,7,5,1,6,5,6,6,4,4,4,5,5,6,female,0,25, , , , , ,1, , ,5,4,5,4,4,4,4,4,ohio,ohio, , , , , , , , , , , , , , , , , , , , ,3,4,4,7.62,5, , ,2.24, , ,4.1,3.71, 
R_3HM81VL3V0oCbXB,1,6,rich,hardworking,college degree,educated,smart,hardworking,2nd generation college graduate,white,upper middle class,suburban,5.93142857142857,7,6,41,7,18,18,20,7,38,56,56,56,4,4,7,6.1,4.125,85,6,6,1,7,5,6,7,6,6,4,7,6,7,Female,0,21, , , , , ,1, , ,6,6,5,5,4,4,5,4,Virginia,South Carolina, , , , , , , , , ,1, , , , , , , , ,1,1,2,3,4,4.71,5.19,7.24,7.24,7.62,5.19,4.33, , , 
R_33BISjRARDsLb0p,1,7,Conservative,Religious,Kind,Devoted to family,Law abiding,Willing to help friend or neighbor,Reserved, , , ,4.76333333333333,7,7,34,40,56,56,56,9,56, , , ,3,4,6,4.5,3.625,90,6,5,1,6,6,6,5,5,5,3,2,4,3,Female,0,64, , , , , ,1, , ,2,2,2,2,2,3,2,2,Georgia,Washington, , , , , , , , , , , , , , , , , , , , ,6,6,6,2.81,4.1, , , ,7.38, , , , 
R_ZIxtVM0Sk97gIVz,1,7,red necks,racist,entitled,rich,snobby,opinionated,republican,patriotic, , ,2.696,7,2, ,39,12,41,1,56,34,56, , ,4,3,7,5.4,2.375,100,8,7,1,6,7,7,7,6,4,7,4,4,2,female,0,46, , , , , ,1, , ,7,4,6,7,3,1,2,7,New York,NYC, , , , ,1, , , , , , , , , ,1, , , , , ,1,1,1, ,1.29,2.24,4.71,2.43, ,2.81, , , 
R_295P5ntD4pCYP3b,1,7,Privileged,Dominant,Managers,Republicans,Bland,Prejudiced,Landlord,Racist,Boss,Visible,3.83111111111111,7,4,38,37,17,34,6,30,56,39,17,37,2,4,5,4,2.125,97,8,7,1,3,3,4,5,4,6,4,3,4,4,Female,0,46, , , , , ,1, , ,6,1,3,6,2,2,2,5,Pennsylvania,Pennsylvania, , , , , , , , , , , , , , , , , , , , ,2,2,3,4.33,5,5.24,2.81,3.62,1.95, ,1.29,5.24,5
R_DJgiOnvxnkldBOp,1,7,The term WASP has little affect or impact on me.,Not very familiar with WASP,This group is not an important part of society,This group is not an meaningful part of society,This group has little impact on society,"I do not like ""group identity""",Media tries to pit human beings against each other using group identity.,We are all humans,We are all Americans,All lives matter.,2.695,5,5,40,56,56,56,56,56,56,56,56,39,2,3,7,7,2,99,7,1,1,7,7,7,7,7,7,7,7,7,7,Male,1,47, , , , , ,1, , ,6,2,2,6,2,2,2,6,Tennessee,Tennessee, , ,1, ,1, , , , , , , , ,1,1, , , , , ,2,2,2,4.1, , , , , , , , ,1.29
R_31LzuPmF50F8yeq,1,7,preppy,upper class,uptight,boring,yuppies,reserved,traditional,elitist,somewhat snobbish,superior acting,3.61875,6,5,2,41,56,6,17,56,30,13,1,1,3,4,6,3.8,2.625,100,8,5,1,4,4,4,4,4,4,4,2,4,4,female,0,49, , , , , ,1, , ,6,4,2,6,3,3,3,6,Missouri,Colorado, , , , , ,1, , , , , , , , , , ,1, , , ,2,2,2,6.43,4.71, ,3.62,5.24, ,1.95,2.14,2.43,2.43
R_1M4YdhBiV6owf4b,1,7,Basic,Entitled,Out of touch,White,Anglo Saxon,Protestant,Privileged,Educated,Employed,Cold,4.13,6,5,6,12,31,56,56,40,38,18,56,10,2,3,6,5.2,3,100,8,3,1,7,5,5,7,5,6,3,2,6,6,Male,1,42, , , , , ,1, , ,2,2,1,6,2,4,2,3,West Virginia,West Virginia, , ,1, , , , , , , , , , ,1, , ,1, , , ,6,2,5,3.62,2.24,3.71, , ,4.1,4.33,7.24, ,3.67
R_72jnS36WbGm1huh,1,7,white,protestant,rich,snooty,privileged,well-educated,racist,blonde,ostentatious,insensitive,3.96714285714286,7,4,56,40,41,1,38,18,39,56,56,10,4,3,7,1.1,2.75,100,8,2,1,1,2,1,1,1,1,1,1,1,1,female,0,49, , , , , ,1, , ,1,1,1,5,1,1,1,1,Ohio,North Carolina, , , , , , , , , , , , , , , , , , , , ,7,3,7, ,4.1,4.71,2.43,4.33,7.24,1.29, , ,3.67
R_bHGcv44CD4WDmed,1,7,Uptight,Crazy,Aggressive,Privelaged,Not willing to compromise,Believe they are right and everyone else is wrong,Organized,Stubborn,Loud,Not friendly,3.095,3,2,56,56,56,38,30,1,56,56,56,10,2,3,6,5.5,1.125,90,8,1,1,7,6,4,7,5,7,6,4,5,4,Male,1,26, , , , , ,1, , ,7,1,1,7,1,1,1,6,Pennsylvania,Pennsylvania,1,1,1,1,1, , , , , , ,1,1,1,1, , , , , ,1,1,2, , , ,4.33,1.95,2.43, , , ,3.67
R_0TYC0n33s6KRw41,1,7,entitled,rich,snobby,privileged,conservative,religious,oblivious,boring,vanilla,educated,3.881,8,7,12,41,1,38,34,40,31,6,6,18,3,4,6,3.6,3.125,100,8,6,1,4,4,5,4,4,4,3,2,3,3,Male,1,33, , , , , ,1, , ,3,2,2,4,3,2,4,5,Maryland,Maryland, , , , , ,1, , , , , , , , , , ,1, , , ,5,4,3,2.24,4.71,2.43,4.33,2.81,4.1,3.71,3.62,3.62,7.24
R_2fcYoy5n7AInlhu,1,7,Privileged,Snobby,Unrealistic view of the world,Conservative,Republican,Religous elite,narrow minded,disapproving,out of touch,Biggotted,3.08888888888889,7,2,38,1,31,34,34,40,30,56,31,30,3,3,6,6.1,2.875,95,7,5,1,7,7,6,6,4,6,6,6,6,7,female,0,34, , , , , ,1, , ,4,3,3,7,4,2,3,5,Georgia,North Dakota, , , , , ,1, , , , , , , , , , , , , ,1,4,1,3,4.33,2.43,3.71,2.81,2.81,4.1,1.95, ,3.71,1.95
R_1oHoqM6E3prMFGr,1,7,Rich,Racist,Old,Privileged,Hate,Crackers,Govt,High powered,In control,Old school thinking,3.93142857142857,7,3,41,39,56,38,56,56,17,37,37,30,2,2,5,5.9,4.75,60,6,4,1,6,6,6,6,6,5,6,6,6,6, , , , , , , , ,1, , ,4,6,5,5,5,6,6,5, , , , , , , , , , , , , , , , , , , , , , ,4,3,3,4.71,1.29, ,4.33, , ,5.24,5,5,1.95
R_3hDTeziMMm5FTar,1,7,Gun lovers,Religious,Against immigration,Pro Trump,Against wearing masks,Against Black Life Matters movement,Racists,Fat,Love the Confederate Flag,Ignorant,2.07875,6,3,56,40,30,34,30,39,39,56,39,30,4,3,6,5,2.5,90,8,6,1,6,5,5,6,5,5,5,3,5,5,male,1,27, , , , , ,1, , ,2,2,2,6,2,2,2,6,NY,NY, , , , , , , , , , , , , , , , ,1, , , ,6,2,2, ,4.1,1.95,2.81,1.95,1.29,1.29, ,1.29,1.95
R_bg703gKRLSxciJj,1,7,Wealthy,white,Catholic,american,irish,Owns a lot of homes,articulate,stuck up,Protestant,judgemental,4.23142857142857,7,5,41,56,40,56,56,28,20,1,40,30,4,3,6,4.6,3.5,91,5,4,1,4,4,5,6,5,4,4,4,4,6,female,0,33, , , , , ,1, , ,5,3,3,3,4,4,3,5,FL,FL, , , , , , , ,1, , , , , , , ,1, , , , ,3,5,3,4.71, ,4.1, , ,4.71,7.62,2.43,4.1,1.95
R_21jpprwiV3kpvMm,1,7,Stuffy,Stuck-Up,Rich,Boring,Quiet,Conservative,Happy,Hard-Working,Religious,Prejudiced,3.55375,7,8,6,1,41,6,56,34,56,7,40,30,3,4,7,6.3,6.5,100,8,6,1,7,7,6,7,6,7,7,4,6,6,Female,0,45, , , , , ,1, , ,1,7,5,1,7,5,7,1,California,California, , , , , ,1, , , , , , , , , , ,1, , , ,7,7,7,3.62,2.43,4.71,3.62, ,2.81, ,5.19,4.1,1.95
R_1irjDVafGwFxXGI,1,7,Conservative,Entitled,Wealthy,Insular,Old,Judgmental,Puritanical,Snobby,White,Prejudicial,2.79125,7,4,34,12,41,13,56,30,40,1,56,30,3,4,5,3.1,3.25,100,8,4,1,4,4,3,5,3,3,3,1,2,3,Female,0,48, , , , , ,1, , ,5,2,2,2,4,2,3,4,Michigan,Michigan, , , , , , , , , , , , , , , , , , , , ,3,6,4,2.81,2.24,4.71,2.14, ,1.95,4.1,2.43, ,1.95
R_21yVgGROcHnwGH4,1,7,Materialistic,Selfish,Superficial,Unemotional,Self-involved,Cultured,Competitive,Well-mannered,Condescending,Republican,2.80333333333333,8,5,29,14,56,10,44,56,56,56,1,34,2,4,7,4.6,1,99,7,7,1,4,5,4,5,6,5,5,4,5,3,Male,1,27, , , , , ,1, , ,7,1,1,7,1,1,1,7,New York,New York, , , , , ,1, , , , , , , , , , ,1, , , ,1,1,1,3.24,2.29, ,3.67,2.38, , , ,2.43,2.81
R_3fjdpL2sL2sSZ5X,1,7,white,privileged,wealthy,snobby,ignorant,spoiled,hypocritical,unfair,powerful,dominant,3.4575,7,7,56,38,41,1,30,47,52,56,37,37,4,4,7,5.9,3.625,100,8,7,1,6,6,6,6,6,6,6,5,6,6,Male,1,26, , , , , ,1, , ,3,3,4,5,4,3,3,4,Kentucky,Virginia, , , , , ,1, , , ,1, , ,1, , , ,1, ,1, ,5,3,4, ,4.33,4.71,2.43,1.95,2.67,1.57, ,5,5
R_xn3G6Bd9galHtnP,1,7,uptight,angry,cold,joyless,racist,judgmental,elitist,insular,unfriendly,religious,2.73666666666667,7,5,56,42,10,6,39,30,13,13,10,40,2,3,4,4.3,3.375,100,8,6,1,4,4,4,4,4,4,4,5,5,5,Female,0,43, , , , , ,1, , ,5,3,4,4,3,3,3,4,Texas,Texas, , , , , , , , , , , , , , , , , , , ,1,3,4,4, ,2.05,3.67,3.62,1.29,1.95,2.14,2.14,3.67,4.1
R_25ABDGADHcmtFtI,1,7,"""Bible thumping""","""Holier than thou""",Dependant on a deity,Homophobic,Intolerant,Hypocrits,Old fashioned,Strict,Unable to think for themsleves,Church-going,2.80555555555556,5,6,40,1,40,30,30,52,30,56,21,40,3,2,6,6.1,4,98,7,4,1,6,7,6,7,7,6,6,5,5,6,Female,0,51, , , , , ,1, , ,4,4,5,7,5,5,4,4,Michigan,Michigan, , , , , , , , , , , , , , , , , , , , ,4,1,4,4.1,2.43,4.1,1.95,1.95,1.57,1.95, ,3.1,4.1
R_3fe2AG63u3FWY5c,1,7,Cheap,Tightly wound,suburban,no rhythm,can't cook,Selfish,prejudice,inconsiderate,snobby,affluent,3.025,7,4,56,56,56,56,21,14,30,10,1,41,3,3,5,5.6,2.75,100,8,4,1,6,6,6,6,4,6,5,6,5,6,Female,0,41, , , , , ,1, , ,7,3,4,7,4,4,3,6,New York,New York, , , , , , , , , , , ,1, , , ,1, ,1, ,1,1,1,2, , , , ,3.1,2.29,1.95,3.67,2.43,4.71
R_25YZ5UCB7R08VSh,1,7,stuffy,repressed,dull,wealthy,elitist,conservative,cold,emotionless,boring,rich,3.61888888888889,7,6,6,56,6,41,13,34,10,10,6,41,3,3,4,2,3.5,100,8,2,1,2,2,2,2,2,2,2,2,2,2,male,1,40, , , , , ,1, , ,4,2,2,2,3,3,3,3,california,illinois, , , , , ,1, , , , , , , , , , ,1, , , ,4,6,5,3.62, ,3.62,4.71,2.14,2.81,3.67,3.67,3.62,4.71
R_1JLcovAndBnHJXq,1,7,Privileged,Racist,Out-of-touch,Conservative,"""Karens""",Royal,Pretentious,Office workers,Scholars,Financial elites,3.9,8,6,38,39,31,34,12,37,1,17,18,41,1,2,4,3.7,2.875,99,8,7,1,3,5,3,4,4,4,3,6,3,2,Male,1,18, , , , , ,1, , ,5,3,5,6,4,1,3,6,Tennessee,Tennessee, , , , ,1, , , , , , , , , , , , ,1, ,1,3,2,2,4.33,1.29,3.71,2.81,2.24,5,2.43,5.24,7.24,4.71
R_22WfafjxUjfDP6U,1,7,Conservative,Old fashioned,Privileged,Religious,Unappreciative,Wealthy,Greedy,Irresponsible,Aggressive,Angry,3.39777777777778,7,7,34,30,38,40,12,41,14,8,56,42,3,4,4,2.4,2.125,100,8,8,1,1,3,3,3,3,3,2,1,2,3,Female,0,29, , , , , ,1, , ,3,1,1,2,1,1,1,7,Alabama,Florida,1, , ,1, , , , , , , ,1, , , , , , , , ,5,6,1,2.81,1.95,4.33,4.1,2.24,4.71,2.29,6.1, ,2.05
R_9KwZkbufv538sLf,1,7,From New England,Upper echelon,Sweaters,Country Clubs,Lots of Money,Tend to look down at others,Old Money,Use car services,Uppity,Tend to have people that do things for them.,3.75428571428571,8,5,56,37,56,28,41,1,38,56,1,47,2,3,5,2.8,2.5,85,6,2,1,2,4,2,4,3,6,2,3,1,1,Male,1,28, , , , , ,1, , ,6,4,6,7,1,1,1,4,Texas,California, , , , ,1, , , , , , , , , ,1, ,1, , , ,2,1,4, ,5, ,4.71,4.71,2.43,4.33, ,2.43,2.67
R_733lJMQ9hbNAQq5,1,7,close-minded,arrogant,annoying,white,rich,conservative,northeastern,condescending,uptight,hypocritical,2.65,7,2,30,1,56,56,41,34,56,1,56,52,4,4,6,4.9,4,98,8,4,1,6,5,6,6,4,3,3,5,5,6,female,0,18, , , , , ,1, , ,3,5,4,6,4,4,5,5,Louisiana,Louisiana, , , , , , , , , , , , , , , , , , , , ,5,2,3,1.95,2.43, , ,4.71,2.81, ,2.43, ,1.57
R_2aY1lpcFxItB2QX,1,7,bigot,judgemental,pious,close-minded,mid-western Bible-thumpers,hypocritical,family-oriented,naive,community contributers (non-profit),old white men and women,3.33875,5,2,30,30,40,30,40,52,56,31,9,56,3,3,6,4,2.75,80,6,6,1,5,5,4,4,4,5,3,3,4,3,Female,0,28, , , , , ,1, , ,5,2,2,3,2,4,2,6,California,California, , , , , , , , , , , , , , , , , , , ,1,3,5,2,1.95,1.95,4.1,1.95,4.1,1.57, ,3.71,7.38, 
R_1rpjD4j5qOA3A21,1,7,privileged,selfish,racist,rude,demanding,close-minded,self-focused,wealthy,generous with certain charities,complaining,3.2975,5,5,38,14,39,42,56,30,44,41,9,56,2,2,6,6,3.75,100,8,3,1,5,4,5,7,7,7,7,6,7,5,female,0,58, , , , , ,1, , ,5,4,4,5,5,4,5,6,Illinois,Illinois, , , , , , , , , , , , , , , , , , , , ,3,3,2,4.33,2.29,1.29,2.05, ,1.95,2.38,4.71,7.38, 
R_77FxQKeERQ8KOZj,1,7,Kind,understanding,loving,hardworking,greedy,American,Smart,Forgiving,Charitable,Patient,5.62,5,3,56,56,56,7,14,56,20,56,9,56,2,3,6,6.1,2.75,100,8,2,1,7,5,7,7,7,6,7,3,6,6,Female,0,33, , , , , ,1, , ,6,2,4,6,4,3,3,6,Georgia,Arizona,1, , , , ,1, , , , , , , , , , , , , ,1,2,2,2, , , ,5.19,2.29, ,7.62, ,7.38, 
R_3skfawzv02sJ8A1,1,7,Wealthy,Republican,Educated,Businessmen,Ivy league,Trust funds,Conservative,White,CEOs,Children,4.9525,8,5,41,34,18,17,18,38,34,56,17,56,2,3,6,3.6,1.875,80,6,2,1,3,3,4,5,4,4,3,4,3,3,Female,0,24, , , , , ,1, , ,6,1,1,7,1,1,1,1,Virginia,California, , , , , , , , , , , , , , , , , , , , ,2,1,7,4.71,2.81,7.24,5.24,7.24,4.33,2.81, ,5.24, 
R_2U9rMMh4QPkj2St,1,7,white privilege,wealthy,racist,religious,homophobic,transphobic,Islamophobic,sexist,bigoted,fragile,2.68666666666667,6,6,38,41,39,40,30,30,30,30,30,56,2,3,6,6,3.875,90,7,7,1,6,6,6,7,6,6,6,5,6,6,Male,1,48, , , , , ,1, , ,5,4,5,4,4,4,4,5,Pennsylvania,Pennsylvania, , , , , ,1, , , , , ,1,1, , , ,1, , ,1,3,4,3,4.33,4.71,1.29,4.1,1.95,1.95,1.95,1.95,1.95, 
R_1PXCqkTCj0Fur1k,1,7,Sharp,Blunt,Rich,Condescending,High morale,Waspy,Superficial,Harsh,Rude,Confident,3.9775,8,2,20,10,41,1,7,40,56,42,42,56,2,2,5,5.9,2.5,68,7,7,1,5,5,6,6,6,6,6,5,7,7,Female,0,25, , , , , ,1, , ,7,3,1,7,3,6,2,5,Colorado,Colorado, , , ,1, , , , , , ,1, , , , , , , , , ,1,1,3,7.62,3.67,4.71,2.43,5.19,4.1, ,2.05,2.05, 
