Challenge Question Data;Christina;Kerrie;Revised Coding/Christina ;Final Codes;;;;;;;
We had our baby in February right before all of this pandemic got really bad. It has been very hard for our family to not be able to see their grandchild. It makes me so sad that he is missing out on so many of his firsts. This is our first child. Becoming a first time parent to a baby is hard enough. Usually you can have help from your family to watch him while you need rest. We haven't had that at all because we obviously can't. We are doing everything on our own and still managing our daily lives. We are just trying to adjust.;"Isolation; accessing support/service; feeling overwhelmed/exhausted in parenting";"Accessing/utilizing services/social supports; Isolation";"Accessing services and supports; Missed experience and activities; Family separations";"Accessing services and supports; Missed experience and activities; Family separations";;;;;;;
My husband and I are both still working full time and have to get the kids engaged in school and entertained all day. Juggling it all is extremely trying.;"Balancing work and parenting; juggling multiple roles ";Juggling multiple roles;"Juggling multiple roles; Balancing work and parenting";"Juggling multiple roles; Balancing work and parenting";;;;;;;
Having to help a Kindergartner with online learning;Home schooling challenges;School;Schooling;Schooling;;;;;;;
That we can't go to the park or take them outside;Isolation/confinement ;Isolation;Confinement;Confinement;;;;;;;
That my children cannnot hang out with their friends.  Going to parks and socializing;Isolation ;Isolation;Confinement;Confinement;;;;;;;
It is difficult to not be able to take your children to a park. It hurts when they don't understand why and you can't explain it. I worry too that if I try to explain too much, I'll scare him and take some of his innocence away (at 4-years-old). I try to keep in perspective parents in other countries such as war zones or food poor areas. I am lucky to still have adequate food, clothing and shelter. It's just difficult to see some of our freedoms, albeit for our own safety, diminished.;Isolation;Isolation;Confinement;Confinement;;;;;;;
Not being able to go places for play dates or experience out of the house. Without these I feel like I never have a break as a parent.;"Isolation/confinement; feeling overwhelmed/exhausted in parenting";"Isolation; Juggling multiple roles OR parenting exhaustion";"Confinement; Parenting Exhaustion";"Confinement; Parenting Exhaustion";;;;;;;
Not being able to go to work and having adult time is hard. Work is a break for me to get away from the kids. Now I am daycare, educator, mom, and still have to work. My schedule is now being mom from 8am to 8pm (with virtual work meetings here and there and responding to emails via my phone all day while I parent and educate kids), then actually working from 10pm to 2 or 3am. It is an exhausting schedule. But, there is no leaving the house because of the pandemic, so I cant even go to the local coffee shop for an hour to check emails. When your mom, even when dad is 'on duty' and mom is in the other room working, the kids still want you (i.e.mom). When a child is crying/yelling/laughing in the other room I cannot concentrate on work, and the kids know Im here so they stalk me until I come out of the room. It is not ideal for work, therefore I can only effectively work at night, which makes me tired and irritable during the day, and exhausted.;"Lack of alone time; Juggling multiple roles; isolation; balancing work and parenting; feeling overwhelmed/exhausted in parenting";"Juggling multiple roles; Parenting exhaustion";"No alone time; Balancing work and parenting; Parenting exhaustion";"No alone time; Balancing work and parenting; Parenting exhaustion";;;;;;;
Homeschool-keeping him busy all day and the frustration that comes from both ends. Mondays seem to be the most challenging day of the week.  I also wonder if I am doing a good job homeschooling;Home schooling challenges;School;Schooling ;Schooling ;;;;;;;
Online school.  My 6-year old does not know much about using a computer, so I need to sit and do every lesson with him. It is also challenging as I am working from home, and he wants my attention when I need to work.;"Home schooling challenges; Experiencing difficulites on virtual learning; Balancing work and parenting";"School; Juggling multiple roles";"Schooling; Balancing work and parenting";"Schooling; Balancing work and parenting";;;;;;;
Keeping patience and trying to get two toddlers to understand that I'm working full-time. Also, my oldest has autism and I feel a TON of mom-guilt for not helping him grow during this time.;"Balancing work and parenting; Parenting guilt";"Juggling multiple roles; parent well-being; child well-being";Balancing work and parenting, Parenting guilt;Balancing work and parenting, Parenting guilt;;;;;;;
Stress of illness and money. Also, trying to keep up with their schooling.;"Financial challenges; COVID stress; concerns on schooling/education";"Finances; School; COVID-19 worries";"Financial and resources concerns; schooling; COVID worries";"Financial and resource concerns; Schooling; COVID Stress and Worries";;;;;;;
Parenting 3 different ages and needs at the same time.;Parenting challenges;Juggling multiple roles OR parenting exhaustion;Juggling multiple roles;Juggling multiple roles;;;;;;;
Having to focus on our toddler 100% of the time, plus juggling cooking, chores, and occasional work.;Juggling multiple roles, lack of alone time;"Juggling multiple roles; Isolation; parenting exhaustion";Juggling multiple roles, Parenting exhaustion;Juggling multiple roles, Parenting exhaustion;;;;;;;
;;;;;;;;;;;
Spending long hours with children and not doing a good enough job with educational methods and curriculum;home schooling challenges;"Balancing teaching with other tasks; parenting exhaustion";"Schooling; Balancing schooling and parenting ";Balancing schooling and parenting;;;;;;;
Working and parenting concurrently, especially for my 5 year old.  He's needy and gets bored easily.  We went from multiple activities or lessons for him (swimming, violin, baseball, skateboarding) to online and super limited outdoor activities.;"Balancing work and parenting; Child behavior";"Kid's behaviors; Isolation/confinement; Balancing work and parenting";"Balancing work and parenting; Keeping kids/family busy";"Balancing work and parenting; Keeping kids/family busy";;;;;;;
I'm a single mom and my ex works in healthcare so he's staying away from our son. I'm doing this on my own without a break.;"Single parenting; parenting exhaustion ";"Parenting exhaustion; Family separation";"Family separation; Parenting exhaustion";"Family separation; Parenting exhaustion";;;;;;;
Home schooling, children being away from peer interaction, social emotional effects of this quarantine on my children.;"home schooling challenges; isolation/confinement ";"COVID worries/stress; School; Isolation; child well-being";"Schooling; Confinement; Children's socialization";"Schooling; Confinement; Children's socialization";;;;;;;
We started school time without screens and did packets the first few weeks. Once the distance learning with apps started, we struggled with all the screen time and felt very frustrated about spending school time interacting with apps. We stopped the apps a few weeks ago and went back to the packets. It's way better!;"virtual learning challenges; screen time";Schooling;"Schooling; excessive screentime";"Schooling; excessive screentime";;;;;;;
Leaving the house.;"isolation/confinement; COVID anxiety/stress";"COVID worries/stress; Isolation/Confinement?";COVID-19 Worries and Stress;COVID-19 Worries and Stress;;;;;;;
Never getting a break.;parenting exhaustion;"Parenting exhaustion; Juggling Multiple roles";parenting exhaution ;Parenting Exhaustion;;;;;;;
Not being able to see our family and friends in person.;family separation ;Family separation;family separation ;Family Separation;;;;;;;
Not getting overwhelmed with keeping up with everything. Taking time to be present with my son.;"parenting exhaustion; juggling multiple roles";Juggling multiple roles;Juggling multiple roles;Juggling multiple roles;;;;;;;
Work/parenting balance. Exhaustion mentally and emotionally.;"Balancing work and parenting; parenting exhaustion";"Parenting exhaustion; Balancing working and parenting";"Balancing work and parenting; parenting exhaustion ";"Balancing work and parenting; Parenting exhaustion";;;;;;;
Always being with eachother. We all need little whether it be a sibling needing time away from another sibling.;"lack of alone time; isolation/confinement";"Lack of alone time; Isolation/Confinement";"no alone time; confinement ";"Lack of alone time; Confinement";;;;;;;
Trying to work from home. Having an extroverted kiddo who can't see any friends.;"balancing work and parenting; isolation/confinement/ child behavior";"Kid's behavior; Isolation/Confinement; Balancing work and parenting";"Balancing work and parenting; Confinement ";"Balancing work and parenting; Confinement ";;;;;;;
Keeping my spirits and energy up;parental exhaustion/ burnout ;Parental exhaustion;parenting exhaution ;Parenting Exhaustion;;;;;;;
Separation of our family because of our careera;family separation ;family separation;family separation ;Family Separation;;;;;;;
Schooling one kid and keeping the toddler entertained at the same time.;juggling multiple roles ;Balancing teaching and other tasks;"Juggling multiple roles; Balancing schooling and parenting";"Juggling multiple roles; Balancing schooling and parenting";;;;;;;
Working and schooling kids at the same time and feeling like both are getting the short end of the stick;Balancing work and parenting;"Balancing work and parenting; Balancing teaching and other tasks";Balancing work and schooling;Balancing work and schooling;;;;;;;
Being with kids 24/7 with no break.;"parenting exhaustion; lack of alone time";Parenting exhaustion;"Lack of alone time; Parenting exhaustion";"Lack of alone time; Parenting exhaustion";;;;;;;
Helping them complete school at home while working full time and monitoring what they are doing;Balancing work and parenting ;Balancing teaching and other tasks;"Balancing work and parenting; Balancing schooling and parenting";"Balancing work and parenting; Balancing schooling and parenting";;;;;;;
The relentless nature of being one of only two care takers for my children.  My family lives out of state and we are not able to use babysitters like we did in the past.;"lack of childcare support; parenting exhaustion";"Parenting exhaustion; Accessing/utilizing social supports";"Accessing services and supports; Parenting Exhaustion";"Accessing services and supports; Parenting Exhaustion";;;;;;;
Keep my kids busy and occupied and not bored while also trying to take care of their needs;juggling multiple roles ;Juggling multiple roles;Juggling multiple roles;Juggling multiple roles;;;;;;;
Uncertainty.;"uncertainty; COVID anxiety/stress";"COVID worries/stress; Uncertainty";uncertainty;Uncertainty;;;;;;;
Finding things to keep everyone active.;juggling multiple roles ;"Juggling multiple roles; Isolation/Confinement";Keeping family busy ;Keeping Family Busy;;;;;;;
worry about my kids stress and mental state;children's well-being;COVID worries/stress;Children well-being ;Children's well-being;;;;;;;
Keeping them busy and confined to home and garden. Them Not being able to see friends in person;isolation/confinement;Isolation/Confinement;"Keeping Family Busy; Confinement";"Keeping Family Busy; Confinement";;;;;;;
Not having social interaction and extra curricular activities for my child.;"isoaltion/confinement; extra curricular activties ";Isolation/Confinement;"Isolation; Confinement";"Isolation; Confinement";;;;;;;
Never getting a break. There’s no way to leave the house and take time just for yourself.;"parenting exhaustion; lack of alone time";"Parenting exhaustion; Lack of alone time";Lack of alone time;Lack of alone time;;;;;;;
Work and childcaring simultaneously. Both are full time jobs and it is difficult to juggle both, even with the help of my spouse.;balancing work and parenting ;Balancing work and parenting;Balancing work and parenting;Balancing work and parenting;;;;;;;
Limited in where we go;isolation/confinment ;Isolation/confinement;confinement;Confinement;;;;;;;
"Being a ""teacher""";home schooling ;schooling;schooling;Schooling;;;;;;;
Little to no downtime;"parenting exhaustion; lack of alone time";"parenting exhaustion; Lack of alone time";"no alone time; parenting exhaustion";"Lack of alone time; Parenting exhaustion";;;;;;;
Making sure my oldest is doing his schooling while keeping my youngest busy and having him leave my oldest alone.;"home schooling; juggling multiple roles";"Juggling multple roles; schooling";Juggling multiple roles;Juggling multiple roles;;;;;;;
Explaining what is happening while trying not to scare them.;"children's well-being; explaining COVID to children";"Child well-being; COVID worries/stress";Explaining COVID-19 to Kids;Explaining COVID-19 to Kids;;;;;;;
The inability to take children to activities that are more enriching than tv.;keeping child/family busy;"Isolation/confinement; Keeping child/family busy";"confinment; keeping kids/family busy ";"Confinement; Keeping Family Busy";;;;;;;
Keeping 5 occupied while not relying too much on screentime;keeping child/family busy;Keeping child/family busy;"keeping kids/family busy; excessive screentime ";"Keeping family busy; Excessive screentime";;;;;;;
Balancing work and parenting. Also managing the emotions of my kids who Have more hard emotional moments (ie tantrums) than usual.;"balancing work and parenting; children's emotional well-being";"Balancing work and parenting; Kid's behavior";"Balancing work and parenting; kid's behavior ";"Balancing work and parenting; Children's behaviors";;;;;;;
Getting stir crazy. We live in a small condo, so there’s no real privacy anywhere but the bathroom;"isolation/confinement; lack of alone time ";"Isolation/confinement; No alone time";"confinment; no alone time ";"Confinement; Lack of alone time";;;;;;;
"The expectation to work full time from home but also assist with a full days virtual learning and schedule keeping for my child. 
Not having the respite of children being in school, especially having a child with special needs. 
Lack of access to therapists and friends and family that assisted with my children.";"balancing work and parenting; juggling multiple toles; accessing social support/service";"Balancing work and parenting; Balancing teaching with other tasks; parental exhaustion; Accessing social supports";"Accessing services and supports; Juggling multiple roles;  Balancing work and schooling ";"Accessing services and supports; Juggling multiple roles;  Balancing work and schooling ";;;;;;;
Not having set answers for my children on the future;"uncertainty; COVID anxiety/stress; explaining COVID to children ";"Uncertainty; Children's well-being";explaining COVID to children ;Explaining COVID-19 to Kids;;;;;;;
Juggling all the responsibilities;juggling multiple roles ;Juggling multiple roles;Juggling multiple roles;Juggling multiple roles;;;;;;;
balancing time for work and time for baby.;balancing work and aprenting ;Balancing work and parenting;Balancing work and parenting;Balancing work and parenting;;;;;;;
Working and helping with online schooling.;"home schooling; balancing teaching and other tasks ";Balancing teaching with other tasks;Balancing schooling and parenting;Balancing schooling and parenting;;;;;;;
Trying to hold their concentration on school work. Getting my kids to play nice together. Dealing with the excess emotions they have from not getting out.;"child's behavior; schooling; isolation/confinement ";"Kid's behavior; Schooling; Isolation/Confinement";"Sibling Tension and Conflict; Schooling; Confinement";"Sibling Tension and Conflict; Schooling; Confinement";;;;;;;
There is no possibility for a break in parenting.  My husband and I parent all day, every day and there is no option for someone helping us with childcare/parenting.;"parenting exhaustion; lack of childcare support ";parenting exhaustion;"parenting exhaution; access to supports and services ";"Parenting Exhaustion; Access to services and supports";;;;;;;
It's incredibly difficult to manage working from home and home-schooling.  I feel guilty about not giving them more time and attention, but my work responsibilities have actually increased so I feel super stressed and more busy than ever.;"balancing work and parenting; parenting guilt; parenting exhaustion";"Balancing teaching with other tasks; Balancing teaching and working; parent mental health/well-being; conflicting parental values and actions; employment changes";"Parenting Guilt; Balancing work and schooling; Employment Changes";"Parenting Guilt; Balancing work and schooling; Employment Changes";;;;;;;
Having no support network to call upon. No childcare. Extremely high homeschool expectations from their school.;"accessing social support; lack of childcare suppoty; home schooling ";"Access to social supports; parental burnout; schooling";"Accessing services and supports; Schooling; School and Childcare closures";"Accessing services and supports; Schooling; School and Childcare closures";;;;;;;
Isolation, kids unable to play with their friends, everyone stuck in a very small apartment all together all at once.;"isolation/confinement; lack of alone time ";"Isolation/confinement; lack of alone time";"Isolation; Children's Socialization; Confinement";"Isolation; Children's Socialization; Confinement";;;;;;;
trying to work, teach and parent simultaneously;juggling multiple roles ;"Balancing work and parenting; Balancing teaching and other tasks";Juggling multiple roles;Juggling multiple roles;;;;;;;
Distance learning while having a toddler and being pregnant.;"juggling multiple roles; schooling ";"schooling; juggling multiple roles";Juggling multiple roles;Juggling multiple roles;;;;;;;
Nap times have been nonexistent and mental space away from the children.;"routine changes; lack of alone time ";"Lack of alone time; Routine changes";Routine changes;Routine changes;;;;;;;
"No time off.  Trying to work and not feel as though I am completely ignoring/failing my kids.  Thinking about creative new activities (but not having brain space to utilize the MANY resources that have been dumped on me).  Trying to have find some sense of rhythm or routine.  Wondering how we will ever go back to a ""normal"".";"parentins exhaustion; balancing work and parenting; keeping children busy; uncertainty; routine changes";"Parenting exhaustion; conflicting parental values and actions; routine changes; uncertainty; parent well-being";"Lack of alone time; Balancing work and parenting; Keeping Family Busy; Routine Changes";"Lack of alone time; Balancing work and parenting; Keeping Family Busy; Routine Changes";;;;;;;
Can’t always help with school work  With a special needs child it’s hard to do everything online;"careing for children with special needs; virtual learning";"Balancing teaching with other tasks; vitual learning";Balancing schooling and parenting;Balancing schooling and parenting;;;;;;;
Work and full time parent;balancing work and parenting ;balancing working and parenting;balancing work and parenting ;Balancing work and parenting;;;;;;;
Keeping the kids occupied while I have to work from home. Limits on food purchases when I typically already buy more than the allowed limits. Food not available in bulk that I usually buy at the grocery store. Finding a variety of things to do with the kids;keeping child/family busy;keeping child/family busy;keeping kids/famly busy ;"Financial and resource concerns; Keeping Family Busy";;;;;;;
balance of working from home while teaching/educating children in 2 grades and maintaining regular daily responsibilities.;"balancing work and parenting; juggling multiple roles";"Balancing work and teaching; juggling multiple roles";Juggling multiple roles;Juggling multiple roles;;;;;;;
Explain why the kids can’t go out to the parks, stores and so forth;explaining COVID to children ;Children's well-being;explaining COVID to children ;Explaining COVID-19 to children;;;;;;;
Kids not being able to see friends, enjoy slaves together, online learning;"isolation/confinement; virtual learning ";"Isolation/confinement; virtual learning";"Children's socialization; Schooling; Confinement";"Children's socialization; Schooling; Confinement";;;;;;;
Where priorities lie with being a parent, teaching our children and working. What is acceptable and not acceptable for work.;balancing work and pareting;"Conflicting parental values and actions; balancing teaching and working; employment changes";"Juggling multiple roles; Employment changes";"Juggling multiple roles; Employment changes";;;;;;;
There is not a lot of opportunity to reset - the days blur together and bad attitudes carry on. We don't have a childcare routine, so my husband and I often find each other frustrated at unmet expectations because they're not built into a routine.;family conflict: routine changes;"Lack of alone time; routine changes; parent well-being; child well-being";"Routine Changes; coparenting conflict ";"Routine Changes; Couple/Coparenting Tension and Conflict";;;;;;;
Keeping the education thing going with a special needs kiddo.  I’m completely overwhelmed.;"feeling overwhelmed/exhausted; balancing teaching and other tasks";"Parent well-being; balancing teaching and other tasks";Balancing schooling and parenting;Balancing schooling and parenting;;;;;;;
the most challenging children's endurance, in the completion of a lot of homework, the children are not obedient, I am also very irritable, so the temper is easy to be more irritable;"children's behavior; parenting?";"kid's behavior; schooling; parent well-being";"kid's behavior; schooling; parent well-being";"Kid's Behavior; Schooling; Parent Well-being";;;;;;;
Rotating stimuli, keeping the home environment appealing, spending enough time outdoors.;"keeping child/family busy; isolation/confinement";;"keeping kids/family busy; confinement ";"Keeping Family Busy; Confinement";;;;;;;
isolation- not being able to have play dates;isolation/confinement ;Isolation/confinement;isolation ;Isolation;;;;;;;
The constant whining and hunger. I dont have the capacity nor desire to stay home with my children. I can barely stand them for the limited time I had them before Covid.;"parenting exhaustion; parent well-being";"Kid's behavior; parent well-being";"parenting exhaustion; parent well-being; kid's behavior ";"Parenting Exhaustion; Parent Well-being; Kid's Behavior";;;;;;;
Being my daughter's only caregiver 24/7.;parenting exhaustion;parenting exhaustion;parenting exhaution ;Parenting Exhaustion;;;;;;;
"They're always there. Always. 

The usual things we would do during a school break or long weekend are largely impossible: hiking, public pool, playgrounds, sleepovers with friends. They have a very limited pool of choices, and the appeal is wearing thin.";"lack of alone time; isolation/confinement; keeping child/family busy";"Lack of alone time; isolation/confinment; keeping child/family busy";"lack of alone time; isolation/confinement; keeping child/family busy";"Lack of Alone Time; Confinement; Keeping Family Busy";;;;;;;
Boredom;keeping child/family busy ;keeping child/family busy;keeping child/family busy ;Keeping Family Busy;;;;;;;
They are always here, hard to get time away from them.;lack of alone time ;lack of alone time;lack of alone time ;Lack of Alone Time;;;;;;;
Distance learning at home with 3 children of different ages is challenging.  Also, the inability to leave our home and do entertaining things as a family is very hard.  We are tired of playing games, going for hikes and other available activities.;"virtual learning; isolation/confinement; keeping child/family busy";"schooling; juggling muliple roles; isolation/confinment; keeping child/family busy";"schooling; isolation/confinement; keeping child/family busy";"Schooling; Confinement; Keeping Family Busy";;;;;;;
all being cooped up together, managing screen time and trying to encourage variety of activities and them getting school work done while I'm working from home.;"screen time; balancing work and parenting; keeping child/family busy";"isolation/confinement; conflicting parental values and actions; balancing school and work";"balancing work and parenting; confinement ";"Balancing work and parenting; Confinement";;;;;;;
She is always here and she never stops singing, talking, humming, and whistling. There is never any quiet.;"parenting exhaustion?; lack of alone time ";Lack of alone time;no alone time ;Lack of Alone Time;;;;;;;
Inability to go to parks, the library, or other public places to play or learn (e.g., local children's museum).;isolation/confinement ;Isolation/confinment;confinement ;Confinement;;;;;;;
Trying not to look at what other people are doing and compare self Making sore kids keeping up with school work My younger son clearly becoming depressed- has literally not slept (both trouble initialing and staying asleep since this began.;"child well-being; schooling; parent well-being";"parent well-being; schooling; child well-being";"child well-being; schooling; parent well-being";"Child Well-being; Schooling; Parent Well-being";;;;;;;
The most challenging part is not having answers for their questions and having to tell them they can't spend time with their friends and family.;"explaining COVID to children; isolation/confinement";"uncertainty; child well-being; isolation/confinment";"Uncertainty; Explaining COVID-19 to Kids; Confinement";"Uncertainty; Explaining COVID-19 to Kids; Confinement";;;;;;;
Homeschooling while working from home;balancing work and parenting ;balancing teachign and working;Balancing work and parenting;Balancing work and parenting;;;;;;;
Balancing work at home and hours of childcare. Not being able to take them out. Not able to see older son due to asthma. He’s with his dad.;"balancing work and parenting; isolation/confinement";"balancing work and parenting; isolation/confinement; family separation";"Balancing work and parenting; confinement; family separation ";"Balancing work and parenting; Confinement; Family Separation";;;;;;;
The most challenging part of the covid-19 pandemic was how to deal with the emotional problems of oneself and children, and the need for parents to properly guide their children to learn.;"parent well-being; child well-being; schooling ";"parent well-being; child well-being; schooling";"parent well-being; child well-being; schooling";"Parent Well-being; Child Well-being; Schooling";;;;;;;
No breaks;"lack of alone time; parenting exhaustion ";"lack of alone time; parenting exhaustion";"no alone time; parenting exhaustion";"Lack of Alone Time; Parenting Exhaustion";;;;;;;
Working from home while parenting and not being able to go out for distractions - stores, movies, parks, hotels, fun places.;"balancing work and parenting; isolation/confinement ";"balancing work and parenting; isolation/confinement";"balancing work and parenting; confinement ";"Balancing work and parenting; Confinement";;;;;;;
Trying to balance work life with home life.;balancing work and parenting ;balancing work and parenting;balancing work and parenting;Balancing work and parenting;;;;;;;
"School.  Getting the kids to understand that I am their teacher and we have to do the work.

Having boys with autism and ADHD adds it's own challenge and then not having the same resources as pre pandemic (full therapy schedule and school, respite)";"schooling; careing for child with special needs; accessing social supports";"schooling; juggling multiple roles; access to social supports";"Schooling; accessing services and support; juggling multiple roles ";"Schooling; Accessing services and supports; Juggling Multiple Roles";;;;;;;
Helping my kids stay positive throughout the crisis and stay engaged in school.;"child well-being; schooling";"child well-being; schooling";"child well-being; schooling";"Child well-being; Schooling";;;;;;;
Being pulled in a thousand different directions and feeling like I am not doing anything well. When I'm at work, I feel like I can focus on work and do a good job - when I'm at home I feel like I can focus on family and be present. With the lines between work time and family time being blurred, that is harder, but it does come with benefits like eating lunch as a family, hugs throughout the day, short walks on nice days with our dog etc.;"juggling multiple roles; balancing work and parenting ";"juggling multiple roles; balancing work and parenting";"Juggling multiple roles; Balancing work and parenting";"Juggling multiple roles; Balancing work and parenting";;;;;;;
Not having enough personal time for both work and pleasure. Staying at home is very frustrating.;"lack of alone time; isolation/confinement ";"Lack of alone time; isolation/confinement";"no alone time; isolation/confinment ";"Lack of Alone Time; Confinement";;;;;;;
Not being able to have a mental break such as meeting friends for dinner. There is also no opportunities I can provide for my child like going to the library or having play dates.;"lack of adult time?; lack of alone time; keeping child/family busy; isolation/confinement ";"Isolation/confinement; lack of alone time; keeping child/family busy";"no alone time; isolation/confinment";"Lack of Alone Time; Confinement";;;;;;;
"Not being able to go places; mommy and me groups, stores, etc.";isolation/confinement;"Isolation/confinement; Routine changes; keeping child/family busy";Confinement;Confinement;;;;;;;
For my 3 year old (currently only child), she is used to having playmates come to our house (in-home daycare) everyday but since the pandemic has begun and because I am also pregnant, we have not allowed others in our house and she is missing playing with friends and thus wants me to play with her ALL THE TIME! I feel bad when I tell her I need to do something else and she can play by herself for a little while.;"isolation/confinement; children's well-being; parenting exhaustion; parenting guilt (for not being present with child 24/7)";"lack of alone time; conflicting parental values and actions; routine changes";"isolation; routine changes; parenting exhaustion; parenting guilt; conflicting parental values and actions";"Isolation; Routine Changes; Parenting Exhaustion; Parenting Guilt; Conflicting Parental Values and Actions";;;;;;;
Helping children understand who are too young to;explaining COVID to children ;"children's well-being; uncertanty";explaining COVID to children ;Explaining COVID-19 to Kids;;;;;;;
Having to essentially not pay attention to kids during the day when I have to work, and concern that they are spending too much time on video games.  One child is exercising much less than usual, which concerns me as he was an extremely active child before the pandemic (multiple sports).;"balancing work and parenting; too much screen time; children's well-being (physical?)";"Balancing work and parenting; conflicting parental values and actions; child well-being";"Balancing work and parenting; excessive screentime; child well-being ";"Balancing work and parenting; Excessive Screentime; Child Well-being";;;;;;;
Having time for everything;;;juggling mutiple roles?;Juggling Multiple Roles;;;;;;;
Feeling like I'm present when I have a million things going through my mind;juggling multiple roles ;"Juggling multple roles; conflicting parental values and actions";juggling multiple roles ;Juggling multiple roles;;;;;;;
Not being able to let the kids see their grandparents and uncles. Not being able to just take the kids away from all this. Kids being sad over missing school and friends and activities.;"family separation; isolation/confinement; Children's well-being (emotional)? ";"family separation; child well-being; Isolation/confinement";"family separation; isolation/confinment ";"Family Separation; Confinement; Isolation";;;;;;;
not having breaks from parenting Having to adopt the role of primary educator Managing my anxiety responses so my interactions with kids are not tainted;parenting exhaustion ;"Parenting exhaustion; parent well-being; balancing teachign with other tasks";"parenting exhaution; balancing schooling and parenting; parent well-being ";"Parenting Exhaustion; Balancing schooling and parenting; Parent Well-being";;;;;;;
I would say just explaining to the kids why certain things are closed or have changed.;explaining COVID to children ;Children's well-being;explaining COVID to children ;Explaining COVID-19 to Kids;;;;;;;
Homeschooling.;home schooling ;schooling;schooling ;Schooling;;;;;;;
Lack of support. My husband works full time from home and I care for our son almost entirely by myself. I really miss having grandparents over to spend time with the baby so I can do things around the house. Balancing house work, caring for an infant, working from home requirements, and time for myself. My son is high risk for catching/having a severe case of COVID-19 and that really worries me a lot when I or my husband has to go out, and the thought of returning to work really worries me.;"lack of support; family separation; balancing work and parenting; caring for child with special health care needs; COVID anxiety/ stress ";"access to social supports; parenting exhaustion; family separation; COVID worries/stress; balancing work and parenting; Juggling multiple tasks";"Accessing services and supports; Juggling multiple roles; Balancing work and parenting; COVID worries";"Accessing services and supports; Juggling Mutiple roles; COVID-19 Stress and Worries";;;;;;;
"24/7 parenting....I am a better Mom going to work and having a ""break"". I come home ready to focus on my child.";"parenting exhaustion; burnout";parenting exhaustion;parenting exhaustion;Parenting Exhaustion;;;;;;;
Working full time and trying to make sure my child is completing his school work AND actually learning something. All the time together as a family can wear on a person as well.;"balancing work and parenting; lack of alone time ";"balancing work and parenting; balancing teaching and other tasks; lack of alone time";"Balancing work and parenting; Balancing schooling and parenting; no alone time ";"Lack of Alone Time; Balancing work and parenting; Balancing schooling and parenting";;;;;;;
The biggest thing is trying to work from home and be expected to put into a productive day with two small children at home that require your attention.   The other big thing is having to try to explain to him why he can't see his friends, go to the playground, go to the store, or see other family members.;"Balancing work and parenting; explaining COVID to children; isolation/confinement; family separation ";"Balancing work and parenting; child well-being; Isolation/confinement; family separation";"Balancing work and parenting; explaining COVID to children; confinement; family separation ";"Balancing work and parenting; Explaining COVID-19 to Kids; Confinement; Family Separation";;;;;;;
