Reward Question Data;Codes;;;
Being able to be around them more often than normal. Watching my girls learn to enjoy playing together more.;"quality time; sibling relationship";;;
Having time together as a family.;quality time;;;
I like the fact that I have the ability to stay home with my kids and keep them safe.  I know many don't have that ability and I feel grateful for that.  It has been really nice to have more family time, though it would be nicer if we weren't trying to manage working from home still.;"parenting competence; gratitude; quality time; spoiling";;;
This does not feeling remotely rewarding right now.;No rewards;;;
NONE;No rewards;;;
more quality time;quality time;;;
Spending more time with my children. Not missing out on learning or milestones;"quality time; involved in child's growth/development";;;
Being able to watch my son (1 year old) reach several milestones with my husband who usually would be at work and miss these important moments and also spend more time with my toddler (3 years old) and try to understand her more and also encourage us to pull her from school next year and homeschool;"being part of child's growth/development; quality time; parent-child relationship; learning opportunity; involved in child's education";;;
More time with my kids.  Some special projects we have worked on together.;"quality time; new activities";;;
Seeing kids all the time;quality time;;;
Spending more time with them;quality time;;;
Spending more time as a family together. Praying more together. Not having to run around to 3-4 different activities after school.;"quality time; more time";;;
family togetherness and the activitiesntjat come with that;quality time;;;
Finding new ways to spend the day;"new activities; creativity";;;
Spending time together;quality time;;;
Spending that extra time with kids.;quality time;;;
We love this time with our daughter. I'm so thankful for our home with so much outdoor space and we love watching her develop and get smarter every day. We were also able to potty train since we are home so much!;"quality time; gratitude; being outdoors; involved in growth/development";;;
I love being with my kids all the time.  I really enjoy them so much.;quality time;;;
More time for parent-child activities;quality time;;;
Potty training, planting seeds and seeing them sprout, no distractions of activities outside the home.;"being involved in child's growth/development; quality time; more time";;;
more quality time with the kiddos, helping/learning math again along with my son;"quality time; being involved in child's education";;;
Nothing.;No rewards;;;
The extra time with my daughter.;quality time;;;
Honestly, just getting through another day and saying goodnight to the kids is the most rewarding part. Sometimes there are fist pumps to celebrate. Sitting in silence on the couch with a book and a snack for a couple hours before bed is what I'm working towards every single day.;family resilience;;;
Quality time;quality time ;;;
spending quality time with them. Getting to cook more home cooked / elaborate meals.;"quality time; more time ";;;
Spending time together.;quality time;;;
seeing more of what they are learning, less stressful mornings at our house (kids can sleep in a bit longer), helping guide my child in understanding the science of what is happening, and to see all the heroes and helpers who keep working to help keep us safe;"more involved with child's education; flexibility; teaching opportunity";;;
I get to hug her when ever I want.;affection;;;
Getting to interact with my daughter more during the day because I'm working from home (during breaks, lunch, etc.).;quality time ;;;
More time to play games, puzzles, read together;quality time ;;;
The most rewarding part is bring able to physically comfort the kids and to be here for the milestones.;"parenting competence; involved in child's growth/development";;;
New hobbies, learning together;new activities;;;
More time;more time;;;
The most meaningful thing during the covid-19 pandemic was that the child became confident and strong, and trusted his parents more and more.;"child resilience; parent-child relationship ";;;
Wake up with daughter;quality time;;;
Being forced to be together 24/7 has been very good for all of us at times.  Being closer, learning how to be more patient and understanding with one another, sharing in the missing of other family members and joy in reaching out to them together (we have 4 kids away at college), more meals together, more silliness, more household tasks together - cleaning, sorting, organizing.;"closeness; learning opportunity; shared meals; quality time";;;
Get to spend some valuable time with my child.;quality time;;;
I have seen my two boys, at times, become closer.  They play together more often - sometimes it seems like they are having fun together.;sibling relationship;;;
I get to have lunch with my kids each day, and I see them more because they don't have any after-school or extracurricular activities to go to.  We have more family dinners because we are all home.;"quality time; more time; shared meals";;;
"Seeing our daughter adapt so well to this new normal. She has been amazing. She talks about what she wants to do ""after the coronavirus"" but is otherwise taking everything in stride. I would also fully caveat this with saying that all of her needs are met - from basic needs to psychological needs. We are very privileged to still be maintaining two incomes and the level of stability that affords.";"Child Resilience; gratitude";;;
Lots of amazing family time. Seeing her reading skills drastically improve. Feeling a sense of pride that we are helping our community by staying home.;"quality time; involved with children's education; collective wellbeing/community involvement";;;
More family time!!!;quality time;;;
Spending extra time cuddling my baby;"quality time; affection";;;
More one on one time with my own child, though I do feel overwhelmed with how much she wants to play with me constantly.;"quality time; affection; spoiling";;;
More time with my family;quality time;;;
Just having more time in proximity to each other, more meals eaten together, more spontaneous conversations.;"quality time; shared meals";;;
Spending time with family;quality time;;;
More time watching my child learn and grow;involved with child's growth/development;;;
Just knowing that we’re doing what we have to do to keep our family safe. Feeling like we’re in a safe little “bubble” in our home.;"parenting competence; feeling safe";;;
More time with each child;"quality time; parent-child relationship";;;
Being able to be there with them as their support in times like this.;parenting competence;;;
Unknown;no rewards;;;
Spending all this extra time with my son. Watching him grow and develop and strengthening our relationship.;"quality time; being part of child's growth/development; parent-child relationship";;;
Being home to see the positive day to day events and activities.;involved with child's growth/development;;;
Lots of down time together to do activities we normally don't have time for such as family reading time, exploring new neighborhoods on walks, and LOTS of long conversation.  I feel closer to my child.;"quality time; more time; parent-child relationship; closeness";;;
Finding new ways to have fun together at home.;new activites;;;
To slow down and enjoy the times we have together,;"slowing down; quality time";;;
Being able to be home with my family more. I’m lucky enough to get laid furlough, so I’ve really been enjoying the extra I normally don’t get with my family.;"quality time; gratitude";;;
I'm spending so much more time with them and I sincerely am enjoying it.;quality time;;;
Actually having them learn life lessons, such as empty the dishwasher, putting clothes away, building bird houses, exploring the creek and woods, gardening, playing silly games,  more time with my family overall.;"teaching opportunity; quality time; being outside";;;
Spending more time together;quality time;;;
TIME. Time to know my babies for who they are, how they see the world, what interests them, what they like to do and create and see.;"quality time; learning opportunity";;;
Quiet;slowing down;;;
Seeing my kids grow.;involved in child's growth/development ;;;
Enjoy time with them. We can have all meals together everyday. Before that, we just had short breakfast time and a very stressful dinner because them need to go to the bed at time to get good sleep and wake up at time for school on the next day.;"quality time; shared meals; more time";;;
Getting to see my child's development and milestones up close rather than hearing about it from daycare.;being involved in child's growth/development ;;;
spending more time together;quality time;;;
Spending time with my family;quality time;;;
Honestly? Getting to see my child thrive. The school wasn't challenging him enough and we've learned the more he is challenged the more he is genuinely interested in accomplishing and showing us.;"child resilience; control over learning";;;
Getting to spend more time with my baby, not having to pump at work, getting to see more milestones in person.;"quality time; being involved in children's growth/development ";;;
Seeing them everyday;quality time;;;
The closeness, gratitude for having this time together.;"closeness; gratitude";;;
The fact that we are all in this together and relying on each other.;family resilience;;;
More time spent together.;quality time;;;
More time together and a slower pace of life.;"quality time; slowing down";;;
"Feeling that I'm somewhat rising to the challenge, but I feel I'm not doing it very well. I'm getting it done as well as I can. 

We have some good moments, but mostly it's the most frustrating and endless thing I've ever experienced.";"parenting competence; family resilience; spoiling";;;
Cuddling, closeness, getting to see and talk to the kids more, getting to teach them some things I'd like them to know, getting to know them a bit better.;"affection; closeness; quality time; teaching opportunity; learning opportunity";;;
Being able to spend so much time with her. Plus, my partner is working from home so he can take breaks to see her.;"quality time; father-child relationship";;;
playing more with my daughter and doing projects together.;quality time;;;
Closeness. The extra time with the kids definitely makes us feel more connected.;"parent-child relationship; closeness; quality time";;;
Snuggles, time together, being silly together, going for walks together, flexible schedule.;"affection; quality time; being outside; flexibility";;;
I get to spend so much more time with my kids! I am seeing them develop. I am able to hug and love and experience things with them.;"quality time; involved in growth/dev; affection";;;
More together time, but the rewarding part of that is beginning to wane after so many weeks.;"quality time; spoiling";;;
Spending extra time that I would not have had with my baby. Forcing myself to slow down and enjoy my time with him, rather than running all over with a full schedule.;"quality time; slowing down; more time";;;
Playing games and laughing more often as a family.;quality time;;;
Seeing our son every minute of the day.. how he changes and learns.;"involved in growth/dev; quality time ";;;
Simply being able to spend more time with children.;quality time;;;
I get more time with my child. That is both challenging and rewarding.;"quality time; spoiling";;;
The time we get to spend together, the extra hugs.;"quality time; affection";;;
Connecting to the family.;closeness;;;
Seeing daily growth in comprehension and expression;being involved in children's growth/development ;;;
It’s nice seeing more of my kids and doing ordinary activities with them (e.g., baking bread). I like putting my younger son to bed.;"quality time; involved in growth/dev";;;
spending a lot of time with my kid;quality time;;;
Committing to spend more one on one time with my oldest and getting outside as much as possible has been very beneficial for our physical and mental health.  It has tested my ability to be patient and hopefully I come out a more patient parent after this.;"quality time; parent-child relationship; being outdoors; self-improvement";;;
Seeing baby milestones in person;involved in child's growth/development (watching children grow);;;
Witnessing my children grow in how they express gratitude. And getting the chance to explore difficult questions with them.;"being involved in children's growth/development; teaching opportunity";;;
I get to see them more.;quality time;;;
Closeness;closeness;;;
We just had our son in February so we’re seeing the two children learn about each other. Our daughter is at an age where she is learning so rapidly that we are surprised every day with the things she can do.;"being involved in children's growth/development (watching children grow); sibling relationship";;;
Introducing my kids to fun activities, teaching them, playing with them, playing games, reading books,;"new activities; quality family time; teaching opportunity";;;
more time with family that I know I wanted pre covid;"quality time; more time together";;;
Able to spend more time with my child;quality time;;;
Seeing the growth and responsibility my child is taking when it comes to completing school work. Finally making time to allow my child to teach me how to play chess, which is something my child has always wanted but I wasn’t really interested or didn’t feel confident in learning because I’ve only played checkers and didn’t really enjoy checkers as much either, and seeing him happy about us sharing the experience.;"being involved in children's growth/dev ; new activities; quality time";;;
I love having my school aged children home all day and am fortunate enough to not work so I can spend my time with them.;quality time;;;
That my husband and I can still tag team parenting and working. That my husband is more often accessible if I need help with something personal or with my child. That my son gets more time with Dad!;"division of labor; partner relationship; father-child relationship";;;
Seeing all the developmental growth that happens at school first hand.;being involved in children's growth/dev ;;;
Being my kids safe place. Seeing them continuing to grow in independence, somewhat out of necessity as I'm working. They've learned to ride their bikes without training wheels. I let them go out in the front yard where I can see them by themselves. Hearing them laugh and seeing them play well with each other makes me so glad they are mine. They are content for the most part (other than missing school), and are taking this with stride despite it being difficult to understand. I'm so proud of how they are handling change and uncertainty.;"parenting competence; being involved in children's growth/dev; child resilience; sibling relationship; gratitude";;;
It's been so nice to spend quality time with my kids, I really missed them being a full-time out of the house worker. I get to play outside, make meals for them, color and read to them without feeling too tired from working a 40 hour work week outside of the home. I can somewhat manage working from home and taking care of them.;"quality time; outdoors; more time; parenting competence";;;
Watching my kids learn new things.  They get so excited when they master a new skill and it is really fun to see them accomplish something they didn't think was possible, but now they can do it!;involved in growth/dev;;;
None in particular;no rewards;;;
taking walks with familiy;quality time;;;
Togetherness;quality time;;;
"More time together, getting to know them on a deeper level, watching their imaginations come alive, more space to just ""be""";"quality time; learning opportunity;  slowing down";;;
More time with the kids. More unscheduled time. Working on household projects with the kids and teaching them around the house.;"quality time; more time; teaching opportunity";;;
-spending lots of time together;quality time;;;
So much! I love the extra time with my kids - my 2 year old is in such a fun phase so feel grateful to be around her more. We also just moved houses so it's been fun to be together more and discover more in our house/neighborhood together. Love being outside with my kids too!;"quality time; involved in growth/dev; being outside";;;
Spending more time together.;quality time;;;
Spending more time together as a family;quality time;;;
Talking about schoolwork with my 8 year old. Connecting with my 4 year old's teacher via zoom.;more involved with child's education;;;
Spending time together making dinner, doing crafts, reading, and playing. Without my work schedule to contend with, we have much more time for activities together.;"quality time; flexibility; more time ";;;
Spending more time with my son.  My husband and I both went part time in our jobs at the beginning of the year so that we could focus on our son, but now I work from home so I get to see our son all day every day.;"quality time; more time";;;
Lots of time with him.;quality time;;;
1. Work from home gives me more time to spend with my 5-month-old 2. Being with her most of the time is the most rewarding part of parenting for me;quality time;;;
Being around my children more. I am getting less work done so I'm spending more time with my children.;quality time;;;
Having the kids around all the time;quality time;;;
Not sure;no rewards;;;
Fun. Time spent together;quality time;;;
Being together. Getting to know them. My kiddos relationship. Co-parenting more frequently with my partner. The long-term changes that are happening in me. Finding more compassion for their big feelings, behavior and attitude. Offering all 4 of us more dignity in that we are all humans doing our best even though our best kind of sucks sometimes but more often than not it really is either enough or good.;"quality time; learning opportunity; sibling relationship; division of labor; parenting competence";;;
It's been impressive to see how our son has managed.  He's setting up online Zoom meetings with friends, learning new things in Minecraft, and generally staying upbeat and happy.  How this will change if his summer camp ultimately gets canceled is somewhat terrifying.;"child resilience; spoiling";;;
I get to spend more time with them because life has slowed down a bit.;"quality time; slowing down";;;
Being able to spend this quality time with our son together before our second child’s arrival.;quality time;;;
I am able to do more activities with my children.;quality time;;;
The most rewarding part is just being able to spend time together without having to get to school, appointments, extracurricular events, etc. While this is also a point of stress (removal of some fun activities), it ultimately is rewarding being together without interruption.;"quality time; flexibility";;;
Bring around to help out all the time;parenting competence ;;;
Quality family time;quality time;;;
I can build up the routine with my older kid and I can see what he improves and learns from the routine. I teach him with some knowledge and I can see he improves too. I am also glad that I can accompany my little daughter more because of staying at home.;"parenting competence; teaching opportunity; quality time";;;
Closeness and more experiences together.  Creative play;"closeness; quality time; creativity";;;
Making it to the end of the week feels like a huge feat.;family resilience;;;
I am proud and fortunate to be able to accomplish so many things and watch my school-age son develop his learning.;"parenting competence; more involved in child's education";;;
Seeing my children reach milestones that I would have missed while working and they are in school/daycare. For example first words, reading on their own, etc.;being involved in children's growth/dev ;;;
Getting to spend way more quality time with my kid.;quality time;;;
doing things together;quality time;;;
I have this special window with my children to love them deeply and see how great they are. I'm not missing their childhood.;being involved in children's growth/dev (watching them grow);;;
I feel like our family spends more time together during this pandemic.;quality time;;;
Spent more time;quality time;;;
Staying with children 24/7.;quality time;;;
Seeing the little successes and things that bring her joy in person.;being involved in children's growth/dev ;;;
More time to snuggle, cook together and adventure together. Not having our M-F work/school/activity schedule has been really nice!;"quality time; affection; flexibility";;;
All the extra time I get to spend with my child that I otherwise would spend at work and driving her to and from daycare. I really love this gift of time with my child! I wish it would be under different circumstances and she could play with her friends and not just me.;"quality time; more time; spoiling";;;
None;no rewards;;;
More time with kids, to be sure. Will weirdly miss this time, but always be bittersweet wishing we could have had more time from work to spend.;quality time;;;
Getting extra time with my child and getting to know them better than ever! She is such a cool kid!;"quality time; learning opportunity";;;
Getting to spend more time together doing outdoor activities;"quality time; being outside";;;
getting to spend more time with family with less demand from work;"quality time; more time";;;
Getting time to spend with the kids and just enjoy them at these ages has been fun.;quality time;;;
Spending more time with kids, not having to run kids around to different things, but instead having more time together.;"quality time; more time";;;
Spending lunchtime every day with my child, being able to go for walks together, watching nature outside together and learning about springtime.;"quality time; shared meals; being outside; teaching opportunity";;;
Seeing the kids more;quality time;;;
I think there have been some bonding moments during the kids that have not been there before.  Places that friends used to fill have now needed to be filled with siblings.  The kids have been playing and working together better than they have before.;sibling relationship;;;
We've shared more activities during this time. That is very positive.;quality time;;;
Spending more time with my children.;quality time;;;
Being home with my children has been a real privileged. They have each accomplished milestones at home, with us, instead of at daycare. My daughter is learning to walk and being able to witness that (instead of hear about it from her daycare teacher) has been incredible. I feel so lucky in that regard.;"quality time; involved in child's growth/development; gratitude";;;
Extra time with the kiddo. Extra cuddles. Seeing how adaptable she is.;"quality time; affection; Child Resilience";;;
I can spend much more time with my children.;quality time;;;
More time with my family since I am telecommuting from home.;quality time;;;
Watching the kids figure out fun things to do at home/ spending more time together;"quality time; Child Resilience";;;
That i get so spend a little extra time with the kids. I feel like if I didn't have to work, I could facilitate the more with activities like baking or science experiments every day, but with work, we try to do one at least once a week. Also, as a family, we started taking walks before dinner which never really worked in our schedules. The kids actually look forward to this every day now.;"more time; quality time; new activities; involved in child's education; being outside";;;
Quality family time.;quality time;;;
not sure;no rewards;;;
more time for snuggling and talking;"quality time; affection";;;
It’s been really great to see the relationship between my two daughters growing. They’ve always been close but now they’re even closer and getting better at navigating conflicts. We also get to see my husband a lot more and he’s been able to be more involved in their lives.;"sibling relationship; father-child relationship";;;
spending more time with my family and doing activities together as a group.;quality time;;;
Nothing.;no rewards;;;
More time with family. Trying to create unique and memorable experiences to make this time special and fun.;"quality time; creating memories; new activities";;;
Spending GOBS more time with the person I love most in the world-- my daughter!;quality time;;;
spending so much time with my family.;quality time;;;
Just getting through each day.;family resilience;;;
Seeing the siblings spend so much time together, spending more time with my kids;"sibling relationship; quality family time";;;
I am cooking more and sharing meals with my kids more. I see them more and see all three interacting more. My older kiddos are learning to be responsible with more and different chores during this time.;"quality time; shared meals; sibling relationship; child growth/dev";;;
Spending more time with my child;quality time;;;
Being creative to come up with new activities;"new shared activities; creativity";;;
Think the most rewarding is the closeness of family. The many laughs we have. The new things we are trying to do as a family or even just together.;"closeness; quality time";;;
All the extra time & activities we can do.;"more time; quality time";;;
more time on a daily basis with my family.;"more time; quality time";;;
Knowing all parts of my child’s day, getting to watch him grow and meet milestones. Letting him be on his own schedule.;"being involved in children's growth/dev; flexibility";;;
That most days my kiddos are really happy and that they are as content as they can be with the current situation.;Child Resilience;;;
Being home full time to love on my children. Having this extra time with my baby who is less than 1 year old that I didnt have before because I was working away from home for so long. Being able to breastfeed way longer than I would have because of work. Spending more time with my spouse and our kids.;"quality time; less busy";;;
Spending time with them!;quality time;;;
"I love how close we all are. And I love how affectionate my son is with us. It's a nice feeling to have someone say, ""I need you, mommy!""";"closeness; affection";;;
I have enjoyed being home more with my child and connecting to family and old friends over video.;quality time;;;
More snuggles and involvement in the upbringing of my kid;"affection; involved in growth/dev";;;
More one on one time with my son. Less distractions. I am able to help him with his schoolwork more.;"quality time; slowing down; invovled in child's education";;;
I have enjoyed feeling closer to my daughter during this time.;"parent-child relationship; closeness";;;
I enjoy the extra time with him, now I don't have to wait for summer break to begin.;quality time;;;
quality time;quality time;;;
Spending extra family time together.;quality time;;;
Family becomes closer to each other. Actually we have had more interaction with people in our community. We talked more with neighbors though in a social distance way. My children have been learning to be more responsible and more independent.;"closeness; community involvement; child resilience";;;
Spending more time together.;quality time;;;
More time with her is awesome some times, and we get to bond more. My partner is distant and I need to do more of the work, but at least that gives my daughter and I great quality time.;quality time;;;
Spending more time with the family at dinner, cooking some good meals and really being less rushed and feeling like we have more time to connect (because we do).;"quality time; shared meals; closeness; more time";;;
The pandemic conditions have resulted in more contact with the kids and consequentially, a greater awareness around their personal interests and hobbies. I think we're not more intentional about our together-time-use, and in maximizing the quality of our interactions - especially with analog activities like putting together puzzles, playing board games, and working on hands-on projects like building robots, crafts and toys.;"quality time; learning opportunity; parent-child relationship; new activities";;;
Family meals, family walks, family read alouds.;"quality time; shared meals; outside";;;
Getting to see my daughter interact with my husband (her dad) more since he works from home now. There has been a lot more co-parenting and we've tried to make it a special time for our family.;"father-child relationship; division of labor; quality time";;;
Getting to witness all the “firsts” and extra snuggles on the couch and watching him learn and grow every day.;"being involved in children's growth/dev; affection";;;
Seeing my son get so excited when I play a game with him.;quality time;;;
Spending more time together and making an effort to do new things, learn new things, play new games, etc.;"quality time; new activities";;;
More time together, less pressure to “go out and do something”, learning more about my child’s curriculum and being closely involved in his day to day learning.;"quality time; more time; involved in child's edu";;;
I get to see the kids all the time! All the time! And this is so amazing and terribly tiring. :);"quality time; spoiling";;;
more dedicated time spent with my child without worrying about schedules, deadlines;"quality time; flexibility";;;
Spending time with my son and his dad and them getting more quality time together;"quality time; father-child relationship";;;
I get to spend pretty much all day every day with my daughter, which I haven't been able to do since she was just born. I get to watch her grow and teach her new things.;"quality time; teaching opportunity; involved in growth/dev";;;
Getting to be home and spend time with her. Be available to help her with her school work. Slowing out schedule down so that we are not constantly busy and on the go so that we can appreciate time together.;"quality time; involved in edu; slowing down";;;
Not having to get the kids up early and all in the car to get to before school care.;slowing down;;;
more time together;quality time;;;
The quality time we have been gifted with.;quality time;;;
All the time that I do get to spend with my daughter is something I can never get sick of.;quality time;;;
I do enjoy not having to get them up and going so early.;flexibility/more time;;;
The constant interaction with my child and our pets. Although, when the pandemic is over this will quickly change to the biggest challenge.;"quality time; spoiling";;;
Doing things with my son that he enjoys and that truly make him happy.;quality time;;;
Spending time with family, being outdoors on nature hikes, connecting with friends on FaceTime.;"quality time; being outside; social support";;;
Spending more time with our daughter and being there while she grows and learns.;"quality time; involved in growth/dev";;;
Spending more time with my family, getting outside multiple times per day, and seeing my toddler's language explode from spending more time with us.;"quality time; being outside; involved in growth/dev";;;
Helping my kids find new ways to work on problems. Spending time helping in ways I couldn't.;"parenting competence; teaching opportunity; more time";;;
Seeing her creativity and her ability to engage with herself and her toys.;"involved in growth/dev; learning opportunity ";;;
Seeing my kids spend more time together and watching their creativity grow as they look for new ways to entertain themselves.;"sibling relationship; being involved in children's growth/dev ";;;
Immense feelings of gratitude for my kids, and the time I get to spend with them, which overshadows much of the worries about the pandemic. My anxiety about their welfare is actually reduced since they are not in school, (so they are not sick 3 out of 4 weeks per month, as they are when in school).;"gratitude; quality time";;;
Ironically, all the extra time spent with my children has been wonderful, even if it feels like I can never escape or hire a babysitter to get away for a while. It's neat to see how much my kids play together, how creative they are when their options are stripped down considerably (no playground, public places to play, play dates, etc.). We have enjoyed really simple activities together. I think my children will look back at this time fondly.;"quality time; sibling relationship; being involved in children's growth/dev ";;;
spending lots of my time with my newborn twins;quality time;;;
Having extra time with my kids and they get to see me working.;quality time;;;
Seeing how close my children are becoming with each other;sibling relationship;;;
Extra family time without the influence of others and being able to observe daily growth;"quality time; being involved in children's growth/dev ";;;
Being able to help with their academics and being there everyday when they wake up;"being involved in child's education; involved in growth/dev";;;
Watching my daughter change everyday;being involved in children's growth/dev;;;
Time spent as a family when our daughter is at such a fun age. A Rapidly growing vocabulary, curiosity, and skill set make it a wild ride!;"quality time; involved in growth/dev";;;
playing with the kids;quality time;;;
The time spent with my children.;quality time;;;
Because we cannot leave to spend time with our own individual friends, we are finding ways to share the things that bring us joy to one another.  We are being creative with our activities and more inspired to be creative overall.  We are cooking healthier meals because we have more time to do so.  I am learning more about myself as mother, friend, woman.  I have more time to exercise than I ever have before.  I know these things are all coming from a place of privilege, because I have a steady job and income that allows for these things.;"quality time; more time; creativity; personal development";;;
Cuddling!;affection;;;
Seeing my children grow and play and experience joy;involved in child's growth/dev;;;
Increased family time;quality time;;;
Spending more time together with his father who is working long hours from home;"quality time; father-child relationship";;;
I wouldn't say there is anything rewarding about it but I did get some painting done. I would have rather been social though;no rewards;;;
Spending extra time with kids;quality time;;;
Being able to help them through this challenging time.;parenting competence;;;
Perhaps an increased appreciation for family and friends.;gratitude;;;
we are getting outside together more. Before we used to do a lot of house projects or cultural things around the city and now we just go to parks and walk around and she really likes it, so that has been a silver lining for us. Also at her age (2.5) we are seeing her language abilities and counting and other skills blossom and it's nice to see it every day. When she was in daycare I think these things would develop without us noticing it right away sometimes.;"being outside; involved in growth/dev; quality time";;;
seeing your children grown and learn even more than normal!;being involved in children's growth/dev;;;
Having more one-on-one time, getting to watch them learn new things, watching their resilience to difficult situations;"quality time; child resilience; involved in growth/dev";;;
