idx,ID,"How has the quarantine/social distancing affected you? Describe in as much detail as possible."
36,724840,"It has made me feel anxious. I usually stay home anyway and don't like to go out an socialize much, but because I am trying to take care of legal things after the passing of my mother, I have to go out into the public and this makes me anxious."
37,111125,"stay at home as much as possible, no longer eat outside, no parties or gatherings, no visit to friends' places, fewer trip to grocery stores."
38,751275,Activities have been cancelled and I can't go out with friends
39,848928,"All of my work has moved from the classroom to online, and we don't know when we'll return. I miss my friends and family I cannot see."
40,560617,"It has affected me that I have to work from home. Now I found it little bit more harder to stay focus when I'm working. In addition, it's harder mentally because I cannot drive a hour away to visit my loved one weekly."
41,384281,It has prevented me from gathering with friends on the weekends. It has also limited my ability to get together with other family members. Working from home is weird and it's difficult to work without having other staff within feet of me. It is very difficult to collaborate ideas with other staff when needed.
42,232329,My workplace is currently closed and I am furloughed. I stay in my apartment and just watch tv or play videogames. I keep a pretty normal schedule now but when I was working my shift varied and i mostly worked grave shift.
43,565855,"I am more conscious about cleanliness. I usually go out on the weekends, but haven't left my apartment, except to walk my dog, in two weeks."
44,898282,"I am a waitress and all restaurants were shut down in my state, so I currently have no income and have a lot of anxiety about money. I am anxious about how I will pay my bills, since the end of the month is near. I feel angry at the government and I am disappointed in society and humanity. I miss having stability in my life."
45,615827,Des not make much difference except my husband is now working from home
46,588711,I've felt more anxious and more on edge. I miss seeing my family and friends in person. I'm more prone to lashing out. I'm more depressed. I'm bored with a lot of the things in my house.
47,360082,I don't get to see my family as often. The kids are stuck in the house more and they don't get to go out or hang out with family members during the day. They have a lot of pent up energy and they get in trouble more. We are more bored at home than we used to be.
48,468525,"I work at a school, so long have a place to be until the schools reopen.

I have kids myself, and I've made a conscious effort to not change our schedule while they are at home doing their school work."
49,684704,I'm now simultaneously taking care of a toddler and doing a full time job from home. It's almost unsustainably exhausting.
50,561614,"It really hasn't all that much, other than the fact that I work at home more. I already worked from home a few days a week, now I work from home 5 days a week. I am a home-body the rest of the time, so it really hasn't made a huge difference."
51,756419,I'm just more stressed out and worried. There's all this uncertainty. My job is still fine but will it continue to be? Can my roommates pay rent? Are my friends going to be okay? It's all very concerning.
52,355941,It affected my daily life and then my routine habit of my work and my family members.
53,933721,It has made me anxious but i am staying optimistic. and grateful that I have a place to live food telephone tv and internet and caring people in my life.
54,611299,I feel lonely and out of touch with everyone but I feel bad for my kids. They are the ones suffering. They miss school and their friends. I definitely miss the routine and not being in fear so much! I worry all of the time and my anxiety is thru the roof.
55,261822,i stay indoors more but besides that I still talk to friends on googlehangouts
56,741744,"I have to work from home on Tuesdays, Wednesdays, And Thursdays"
57,117773,"not much, have worked remotely from home on/off during week..though always cautious when leaving apartment from taking walk, laundry, deliveries..constant anxiety"
58,237354,not at all
59,351282,"The only thing is my day job hours has been cut until further notice. So I have so much free time these days to stay at home. However I am unable to enjoy my regular social activities before the self isolation procedure. Other than that, I am in the dark as far as when I will be going back to work. I am currently using these time stay at home to rest up, so that when life returns to normal, I am fresh and can go back to work with lots of motivation and energy."
60,956108,
61,613657,good
62,181024,"I'm now working from home which alters my schedule a decent amount. I don't have to drive into work so I wake up a little later. Not being able to socialize outside of my household or go to the gym means I workout at home and generally drink/smoke more than I normally would. Other than that it hasn't affected me too much, I'm still pretty healthy and getting work done."
63,246503,It has reduced the amount of work I have and required me to adjust how I interact with family members.
64,929721,"I have had barely any social interaction since it started, mostly communicating over text message. I feel more and more anxious. I feel antsy and I find it hard to concentrate."
65,515341,"Greetings Begin With A Hug And Kisses To The Cheeks, But That Is All Changing. Learn More! Close Contact Is As Natural As Breathing In Rwanda & Social Distancing Is Hard To Achieve. Female Focused. Empowering Women. Solutions To Poverty."
66,612951,"I lost my job, I was a dishwasher in a restaurant and they where closed down by the cities health department due to Corona Virus"
67,930406,It hasn't effected my household all that much as we do not spend much of our time socializing or in public places. Our routines are still nearly exactly the same except for when we go to the grocery we are much more cautious. We stopped going to the park and have opted for the woods instead as well.
68,277469,not really
69,601235,It has affected me in I can't leave my house and it's boring
70,259638,It's obviously mildly annoying but that's life. Sometimes you have to do things you don't feel like doing and there's generally a pandemic every 100 years or so. We're lucky we live in a day where it can be addressed seriously and with medical advancements we have compared to the past.
71,551323,"It hasn't really. I work from home and we live in a rural area, so our lives literally have not changed since social distancing has started."
72,848461,No. I am at home usually anyways.
73,680390,"I no longer have a job. I can't work so I'm currently stressed out about money and having the money I need to survive during this time of life. I miss my life, and I am just so disoriented so that makes life a little harder."
74,140536,My husband an I now both work from home during this time till our jobs say that it is safe to go back to the office. Also our kids are home from school so i am having to home school my kids while I am working. And my family does not go out for anything other then groceries once a week and then it is only my husband or I going instead of the whole family.
75,505709,"I am not much of a social person and don't usually go out a lot. So in terms of social situation that is the same. I do talk to my friends less in person but we still text. I work from home now, and am glad I can do that so I can still get a pay check. My kids are doing home school so I am a teacher along with all the other crap I do everyday. I just simply don't go out to the movies or anywhere with the kids like we used to on weekends."
76,8559281,"I am unable to work, which I am okay with. I have saved enough for emergencies like this. Other than that it has not affected me that much. I am an introvert, so I did not go out often before."
77,823686,It hasn't really affected me much since I work from home anyway.
78,686770,"I am working from home, as is my husband. My children are also home conducting virtual learning."
79,362912,"I have a job as a Table Games Dealer at a casino working night shift. Since the stay-at-home order the casino has been shut down so I am on ""normal"" hours. I do not have a job to go to so I am just staying at home. I have lost about 40% of my income since it is a tipped position and the company is only paying me 10 dollars an hour."
80,630116,it has made me stuck at home and boredom sucks.. it is hard to go out there cos of the fear of contracting the virus and its affecting me financially.
81,626665,"I have had to not go to work for the past week, I'm not sure if I'm getting paid and that has been stressful. I have had time to relax at home, though, so that helps keep my stress levels low."
82,704721,It is mentally exhausting dealing with stupid people who've lost all common sense. It's also driving me insane dealing with people in stores and other places because people are in panic mode for no reason.
83,349566,"Before the quarantine was initiated, I worked on average 9 hours a week. After the quarantined was set, my client's school was closed down and now I must work on average 30 hours a week in order to care for him while his parents are at work. Financially, it has improved because I'm working three times more hours than I usually am. However, it has mentally and physically drained me from working so many hours on short notice."
84,304384,It affected a lot to me based on my work
85,716142,"From a positive perspective, I get to work more often from home and get to see the family more. At the same time, it's been negative in that many people are impacted by this pandemic and the constant stream of news have been very dire."
86,440034,"It hasn't affected me much, I don't go out very often. I just am buying groceries less frequently."
87,981275,Not too much. I am just more restricted and cannot go out as freely as I could before.
88,633607,"Yes, everyone is stuck at home working or doing school work"
89,975458,"The quarantine just relieves a little bit of stress from work. But my sleep is staying the same. I would like to go out more on the weekend, but I unfortunately can't"
90,561838,"It has not really affected me because before now , i do not like talking to people and going out except on special occasions or going to work"
91,157757,"I have lost my job, hopefully temporarily. I have enjoyed my time with my family and with God."
92,510108,"Honestly has no affect other than the kids being home. Because kids are home I'm awake a bit longer during the day whereas, when they're in school I sleep/nap during the day."
93,977616,"I used to live near my boyfriend in another city. Now I'm visiting my parents. I'm hesitant to go back to my boyfriend because he is still working and I don't want to bring anything back home if I visit my parents again. Also, I just graduated from nursing school and I can't take the NCLEX to be licensed because nobody is going to proctor the test right now. I can't start any job as soon as I would like."
94,722610,i have been away from people and it suck
95,723511,"Honestly, it's affected me very little. I work from home, don't go out often, and am not incredibly social to begin with, so this is business as usual for me. The only difference is that my husband is home. He's a teaching assistant, working from home, and fortunately is getting paid (albeit less because he's not doing his usual overtime.) If anything, the stay at home order has simply given me help with the housework, and the op to spend more time having fun with my husband. I'm one of the lucky ones."
96,288102,I work from home now. I have been under stress. I worry about my health
97,952984,I have been off work this week because my company had to shut down. I have been at home and my anxiety has been high.
98,298635,I am always in door not having a lot to do so i spend most of my time sleeping
99,966536,It really has only made me stay more at home and eat out less often. Other than that all is the same.
100,354356,"It has changed how free I am to go about my normal errands. Since I work at home, I usually go out several days a week for grocery shopping or just to browse around and get some time away from working at the computer all day. Now, I don't go out at all except for groceries. I don't go visit friends right now either."
101,904243,It has kept the children at home. I am volunteering my time to provide daycare to a friend so she can continue working. It is hard to get the food and supplies that we need because people are hoarding and being selfish. It has made me sad to watch this chaos that surrounds our country right now.
102,561420,I am working remote so it has been a fairly drastic change. I am head of IT so I have been dealing with a lot of questions and issues with people trying to work from home and of course everyone's situation is unique compared to being in an office setting.
103,199822,I feel lonely and bored most of the time. I also feel disconnected from the world and I think I'm missing out on something.
104,793873,"it has never really affected just that my work as never been like my normals
the way i needed"
105,945915,I just get to stay home more and I'm not making any money because I am a substitute bus driver and a housekeeper.
106,136552,just stay home more than usual has not really affected me lately
107,477332,It really hasn't affected me too much. I am aware of what I need do to stay safe and aware of anything that is closed. I guess the biggest part that affects me is the grocery shopping and lack of toilet paper.
108,166113,I refuse order out because I am scared of the delivery person and even the person who packs my order having Coronavirus. So I have been cooking each night and it's been a lot of fun actually. I forgot how much I love Meatloaf. Seriously it's like the best thing ever but I never make it anymore. I forgot how great Pancakes and Eggs and Bacon for dinner can be. Also I am saving a lot of money.
109,693104,"I can tell I'm starting to feel more depressed. I've been getting groceries for my elderly mother, and I'm always worried I might be bringing in the virus to her. I also just miss being with friends in person and general interacting with people. It's also very easy to become a hypochondriac over a sneeze that I know is from an allergy."
110,334063,Social distancing has no effect on me. I know the coronavirus is being used as a fake cover to shutdown all business for the planned global financial economic collapse and change of the money system to the mark of the beast.
111,230053,My life hasn't changed all that much. I am still going to work because I can't work from home and I have an essential job. It's hard to find food or supplies.
112,751049,its been rough but im dealing with it i usually stay at home and dont go out unless its for food
113,215672,It has stopped me from going to work and other social obligations
114,875245,I work remotely now. I order food through the drive through only. I do not leave my home except for food and medication.
115,709602,"I DON'T HAVE A LOT OF FRIENDS, ANYWAY. bUT, I DID MAKE MOST ALL OF MY SOCIAL CONTACT THROUGH MY BUDDHIST ORG. AND ACTIVITIES. SO WITH THAT BEING SUSPENDED WE'VE BEEN USING ZOOM AND FACETIME TO ACTUALLY BE TOGETHER. IT DEF HELPS. I'VE BEEN DOING A LOT OF MTURK AND PROLIFIC SURVEY WORK -- MORE THAN USUAL. I TRY TO GET OUT, BUT IT'S BEEN A LITTLE ON THE COLDER SIDE HERE RECENTLY.
READING, STUDYING BUDDHISM, STREAMING, NAPPING"
116,425246,It has made me stay away from all my close friends and family which really made me upset and lonely.
117,987989,"Since I already work from home, I have to say I am little affected. Shopping is the only real noticeable difference, with long lines and/or stock shortages resulting from panic buying, but even that is improving. I am in electronic contact with as many people every day as ever, and know many people who ARE greatly affected. I provide caregiving to shut-in parents, and they too have seen little change to their day-to-day lives. It remains to be seen if things will change as the sitution evolves."
118,879316,It's been much irritation being alone without contact anybody touching anyone including children is more stressful to me.
119,798877,I do not go out as much as often now. I only go out for work and grocery shopping. I also sanitize my house and wash my hands much more often.
120,458469,My income has been reduced to half. It is difficult to get needed food and groceries.
121,970982,It has affected me too much. I am disabled and I don't get out much anyway.
122,249153,It hasn't. I can't grocery shop as normal now so I need to buy online. Some work has slowed down though.
123,711461,"I have been socially isolated for years.

You folks have finally caught on."
124,308442,"Restless, bored, worried"
125,917602,"It has not affected me too much. I usually work alone in the early morning hours and then open my shop and welcome the other employees to work around 7am. This has remained the same except our shop is to-go only now with most people calling in their order ahead of time and also paying in advance so that they just have to walk in and collect their ready-to-go order and leave.
I wish more people here were observant about keep distance in public places such as the grocery store. Luckily, I am a very well prepared person and do not have to go to the store more than once or twice in the past 3 weeks.
I have not been negatively affected by the quarantine or social distancing."
126,686617,COVID 19 AFFCETED MY NIGHBOURS
127,391845,It has made me stay further away from others
128,274418,"I work from home, and am poor, so I haven't traveled anywhere. I usually just go to the grocery store anyway, and am pretty much just living like I normally do. I live alone in a duplex, and don't have to interact with others to access my dwelling. I have neighbors but have been keeping a distance.
I work in the yard when I get bored, and still visit my family at least once a week since they have also been quarantined for the past 3 weeks, since the outbreak in Kirkland, WA. My son's office building is in Kirkland but his office closed down way before the other office's did.
The only crowded place I have been to during the last 3 weeks was to the grocery store before the stay in place was issued several weeks ago."
129,481069,some time i am satisfied . because family sutiations is occur
130,874147,"It has affected my level of being anxious. I am worried for my family. I am also very concerned about getting food and supplies for my home. When I go to the store, there is very little to purchase. It is very stressful to have to go to numerous stores to find what I need to live. Ordering from stores does not mean that you will get what you need and you have to wait a while for it. If delivery does not bring what you need, then you must go out to look for it. I am concerned about getting the virus when I go out for necessities."
131,463839,it isolated me. My kids and myself stay indoors now to avoid being affected by Covid 19
132,472295,it has reduced my whole life
133,314154,I feel bad that I can't go an visit with my mother like I used to. I work in assisted living and am around the elderly all day. I do not want to take a chance an infect my mother if I do in infected.
134,887840,"My employer decided to let a bunch of people go around the time they started the social distancing movement. I was one of them. Can't find a new job though, because nobody is hiring during this mess. So, I am now without an income and stressing over how I will pay my bills. To make matters worse, despite what the news is saying, utilities are not willing to work with me on payment arrangements during this time. So my stress is through the roof and severely impacting my sleep."
135,806329,"I can't take public transit, I can't go to the library, I can't physically go to work, I can't sell my blood plasma, I can't go to the store as often, I wash my hands way more often (about 10 or so times a day), my roommates have increased in number because of travel and housing changes, we can only find toilet paper very rarely, but we got a bidet to limit our toilet paper usage."
136,370824,"small affected of social distancing. but this rules ia really accepted. because, take it government human health care."
137,832869,I wasn't very social to begin with so social distancing hasn't altered my routines to a significant degree. I just have to be more wary of what I have available to me since I cannot go shopping as frequently as I did in the past. I also have to be more wary of my surroundings because of increased xenophobia and people blaming Asians for bringing Coronavirus to the U.S..
138,301840,"I am single and middle-aged, and I wasn't going out much before the effects of the virus came into play, so my life has not radically changed. I like to stay home and watch TV shows, YouTube videos, read, etc. I usually only visit my friends every few months, so we're only missing a few social nights. I am talking much less to people I run into, mostly just nodding."
139,653684,The social distancing has affected both negatively and positively. Negatively in that I don't get to visit and hang out with my friends and positively in that it has given me more time to spend with my family.
140,384280,"The quarantine hasn't really changed much for me. I am a stay at home mom and am an online college student so I don't really go out much anyways unless it is to the grocery store or something. My husband works at Whole Foods so he is constantly in contact with people. That is the only thing that worries me is that he will bring something home and get my 3-year-old son sick. Other than that, nothing has really changed much for me."
141,787207,iN A LOT OF WAYS WITH MY WORK IT HAS AFFECTED ME BADLY BUT HEALTH WISE IT IS A POSITIVE VIBE
142,455315,
143,119753,"I hate the lack of freedom. I feel like I might go stir-crazy, but I am keeping myself busy. I feel trapped, sort of."
144,346245,none
145,199122,I have not been out of the house in a week and I'm running low on supplies. I'm very anxious because I am high risk. I'm feeling a bit lonely.
146,841064,"I don't even know where to start. I wash my hands constantly, I am at home much more than usual, I am working from home. Certain things cannot be done because nothing is open. I was ok but I notice that I am getting more frustrated as time goes by. I am social by nature and people are becoming considerably more crabby. I am also tired of going to 100 stores just to find toilet paper. I am not sure if this is really answering your question. I guess I need to vent, besides completing this study. I hope this helps in some way. As a side note, I am very stressed out because I have quite a few friends and family members that insist that everything is fine. Things are not fine and I don't know how to go about convincing them that it isn't. I am not irrational and I am not a Covidiot, but I do believe the science."
147,577099,It has effected my income which I extremely stressful. Idk how I will pay my bills if I can't work.
148,209420,I just notice that it's strange in public or even meeting relatives because people are really confused by the risks involved. Not knowing how close to hug sometimes.
149,668708,It has made me feel down. I don't see the people I want to see and my work cares more about shareholders than employees. I also am missing out on events that I had plan such as my brothers wedding and baseball season.
150,420967,Social distancing affects the friendship and relationship of the friends and my romantic partner very by the way we have to COVID-19 so that we have to take those types of measures to control.
151,298764,I feel like I have more time on my hands to pursue hobbies and interests.
152,731861,I work from home for now and my children are home with me. It has been manageable but difficult to get things done and keep people on track and on their schedules. I am not getting as much income as I was and my husband had his hours cut back as well. Everyone is getting bored and restless.
153,868315,It hasn't had a huge impact on my life other than our family schedule. The kids are obviously home from school so we have home schooling. The upside of all of this is I feel like we have so much more family time now.
154,601375,"I only leave the house to get groceries and walk my dog late at night. Otherwise, I remain in my apartment."
155,102847,I live alone except for my dog so I am pretty use to social distancing excepting for going out and be able to be around friend. Pretty much have a pattern now of only going out as needed.
156,211882,Very bad
157,520982,I feel very isolated and end up eating because of this. I feel this has affected my sleep as well.
158,867146,"It just made me not go out much besides going to work, appointments, grocery shopping and only if it's necessary. Otherwise I just stay in and keep in contact with people through online or by pone. I'm doing my part to reduce the virus transmission and to keep myself safe."
159,197180,I am inside the house literally every day. I'm temporarily out of work.
160,887676,Everything has had to take a back seat. I will not spend any money unless its on groceries or gas. I have had less work but luckily I am still able to earn something. We have just stayed at home and kept away from everyone for the time being. I have also been dosing up on vitamins etc trying to keep healthy. Even though it really has been a stressful time I am very very optimistic for the future.
161,483693,"It's prevented me from being able to go to the store as needed, plus we're in quarantine at the moment so we're stuck in the house for at least another 2 weeks."
162,760533,I am on a mandatory vacation until the lockdown lifts. Luckily I have paid time off I can use but I feel for everyone who does not. Hopefully we come through this soon.
163,314640,"It has made me be weary of being in public and just more diligent with hand washing and watching out for visited older people. Other than that, I already worked from home most of the time so it is not a big deal."
164,726526,I have to wash hands more.
165,707259,It hasn't affected me all that much because I already led a pretty solitary life and worked from home. The biggest difference is that my family is at home with me more of the time.
166,361492,"I do not go out. My store is temporarily closed so I do not work for the last 5 days. My husband does not work and my kids stay home because the school is closed. It is hard to be in the house all day, and listen to this sad news. I just want a normal life. I FEEL STRESSED AND SCARED MORE THAN USUAL"
167,724298,"I work from home, and there are only 65 confirmed cases in my state, and none in my city or county, so it has not affected me in any way whatsoever (at least not yet)."
168,383997,
169,375544,"I find it very interesting how the pandemic has affected me. I am currently on medication and treatment for COPD, Gastroparesis, and hypothyroidism. Since getting sick my activity level has been much less and I rarely leave my house due to fear of getting sick. After hearing that I do not need to leave my house I want to very much so. I chalk it up to the difference of it being my choice to stay home vs having the choice made for me. I have become almost obsessed with disinfecting my home and keeping my family as safe as I can by following the suggested guidelines given by the state and federal government."
170,712981,"Not much, except for working from home, because I am a homebody."
171,846789,I was going to schedule my road test to get my license but the dmv is not doing road tests for a while so I cant get my license to get a better job.
172,581997,"I am self-employed. There are cases in my area and most of the local businesses have closed and my own retail store is closed, which has greatly affected my sales. The general effect on the economy has also led to no sales through my online store, which has also been detrimental to my income. The stocks I owned, which could have helped pay my bills lost a large amount of their value. I have a poor immune system and catch whatever goes around, so I have been in self-isolation for 17 days. I live in a rural area, so getting food or groceries delivered is a challenge. The only money I am making right now is through mturk. My landlord does not want to give me a break and I am not sure if I will be able to pay my rent next month or buy groceries."
173,761994,There has been no real effect. I miss being able to go get groceries when I need them.
174,391615,"mostly i am not going out as much as i used to. for example i was going to the YMCA 2x a week to swim and now i cannot do that. I would visit my best friend in the next town about every 10 days or so and now we are not doing that. but since i work at home anyways, most of my life is pretty much the same. I am still going out for my hour walk every evening as i do that alone."
175,269954,"I have not been able to participate in my usual pastimes, routines, and work."
176,534376,"I feel socially and physically far, I feel stress and worry that I will contact someone who has it, that I might spread it."
177,783829,moderately affected
178,264023,"its as affect me, no social gathering, i cant go out with the fear of coronavirus.
i work from home."
179,499008,I have to work from home now. I am getting work done that I did not have time to do when I was in the office working with clients. I do not go to public places and am home more often.
180,546920,"The only thing I'm seeing is a very sad failure in our society. If this is how people react to a flu virus then I'd hate to see how they're going to react when they lose their homes, their jobs, their stocks, their retirement, their future from panicking and acting like absolute babies in the face of a virus. Frankly, I think most people by now have had it, but their symptoms were nothing compared to their usual bout with the variant flu ( which the flu shot never hits right) or the even worse COLD that everyone always has hacking up all over everywhere. What I'm saying is the flu shot only works maybe 20-30 percent of the time, just ask anyone, have you had the flu shot, have you had the flu? 70 percent will answer yes.
Get back to work Americans, or you're going to not have a job to go back too.
Flu season (beginning October 2019):
Illnesses Reported: 36,000,000 - 51,000,000
Hospitalizations: 370,000 - 670,000
Deaths: 22,000 - 55,000
In comparison, since the beginning of the COVID-19 epidemic:
Illnesses Reported: 33,404
Deaths: 400"
181,521112,"I am working from home more. I am also drinking more and exercising less, only because I recently had jaw surgery and I was under orders not to exercise, but I am changing that by trying to run daily(my gym has closed)."
182,814554,"It actually hasn't affected me at all. I prefer to stay at home anyway. Our state has shut down all of the bars and restaurants, and Friday & Saturday nights, I DJ'd music. So, I have lost some of my finances by not being able to do that. I am glad though, because I don't want the virus to spread.

Some of my work, can be done from home though. I have plenty of food, TP, and cleaning supplies. I worry about my friends and family.

This too, shall pass."
183,349186,"I feel isolated and alone, and my anxiety is at an all time high. I worry about touching everything, I worry about not seeing my friends or if I see them, then potentially getting and/or spreading the virus. I worry about my mom and my boyfriend, who are both long distance and both in a risky position to contract it. I worry about going back to work, a public library, and getting sick there. I worry about who is going to take care of my dog if I get sick and have to go to the hospital. I worry about affording the hospital. I worry about finding supplies from stores that I need--I have been looking for a thermometer for 2 weeks now, and not knowing if the symptoms I have are due to allergies or COVID-19."
184,412321,it makes me mad. unnecessary. restricts our freedoms.
185,704734,"I am not able to participate in most social activities anymore as they are canceled. I am no longer able to go to the gym and get exercise outside of my house. There is now a mandated curfew here and I can also no longer go out to eat or go to places like the local museum or art shows. For me, food and toiletries are also harder to find in most stores now, as well."
186,402902,It kept me in the house much more. I dont see as many people.
187,929711,"I have not been able to attend to things in the lab that I normally do. I've been working from home. I've curtailed all social events, and been sheltering in place. Shopping trips are highly consolidated so we don't have to go out much."
188,551341,"It has made me stay at home more. I work from home so it has not really been a big inconvenience for me. I haven't been able to go out and do anything social which is kind of a bummer, but other than that I haven't really been affected by it too much, luckily."
189,247795,I barely have any food. Any money. I'm worried about paying my bills and feeding my dogs. I'm worried about eating. I'm worried about running out of food. I'm worried about not being able to buy enough food due to limitations placed on number of items. I'm worried about having to go to the grocery store once a week with infected people due to limitations placed on groceries. I'm anxious a lot. And so stressed.
190,733902,i can't contact face to face any other persons.i was only contact directly to my household members.
191,783729,It made me appreciate my friends and family more than ever. We talk more and ask about each other more. It shows that we truly care about each other and that we will support each other through this. I am grateful to have these friends.
192,221413,self quarantine mean self monitoring from some symptoms and this happen because of the pandemic virus that was originated from Chinese people
193,157111,"Social distancing has had little effect on my life. In fact, I am personally enjoying being secluded in my house, spending more time with my family, and abstaining from socially engaging with large crowds of people. I feel that Americans need to use this time to protect themselves and their loved ones. We also need to take the opportunity to use this time to remember what's important in life. Society has become so impersonal and self-centered. We are a nation of people who are less concerned about the welfare of our fellow citizens and more about taking selfies, following social influencers, and informing people of our every move on Twitter."
194,492628,Not really that much other than I got hired at a gym and then they all shut down so I can't work there anymore. I still go out shopping and carry on as normal in my day to day activities
195,579302,No change. I am an introvert and I don't have any friends currently so I was socially distanced for years even without a virus situation.
196,196229,This affected with corona virus.....distance for all people and social network....
197,695751,It has not really affected me at all. I still go to work 6 days a week and outside of work I dont really do to much so I have not seen much if any change in my life due to the virus.
198,745556,Has not affected me much at all other than I work less. I usually stay home anyway.
199,130424,it does not really affect me in as much that it does more good than bad.
200,931559,"It is has affected somewhat, I am not the most social person but I am also not too particular fond of spending an entire day inside of my house, unable to go out for eat, a jog, work out or go and visit my girlfriend."
201,394120,yes. It's not fun to not visit anyone
202,299067,It has made me feel more lonely
203,651358,Just makes me do less stuff when I'm not working
204,431891,"Its a lot, because before the quarantine i have much period of time to enjoy with neighbours."
205,460699,yes the work affectit andthe regular life and the shopping affect the most
206,843987,The social distancing is makes as per the government as per the health care so it can be must following things and that will the meeting are been affected the virus so the social distancing is must
207,694537,I am feeling very lonely and disturbed. It is traumatizing and boring.
208,568155,My husband has been laid off. we no longer have money or income to pay bills. I am unable to find and secure food for my family because of people panic buying. I don't know what we are going to do.
209,501442,"Now that the new coronavirus and COVID-19, the illness it causes, are spreading among communities in the United States and other countries, phrases such as â€œsocial distancing,â€ â€œself-quarantineâ€ and â€œflattening the curveâ€ are showing up in the media."
210,365292,"Quarantine/social distancing has affected me negatively in every area of my life because have not been able to go to work, visit friends and family and go to stadium to watch football."
211,937388,Nothing
212,915014,NONE
213,557482,"I can't go and eat out where I like to eat, I can't go visit family members or do things with my wife, or go to the doctor's office."
214,410907,It affects my regular activities. Such as conversation with others. And It heavily affects my job. I complete my office work in my home. I couldn't contact with every one. It restricts my perception towards others.
215,770897,It's important to protect each other but can be boring and frustrating at times.
216,341246,"It has somehow affected me positively in terms of stress reduction and relaxation. I'm at home all day, so I have less work to worry about. It has made me take the time to observe and/or focus on other aspects of my life which I might have ordinarily not have time for."
217,484415,I haven't been with my friends or anybody except my parents. I value the freedom of mobility more than I used to. I plan my grocery shopping better. I realize more that social media can bring joy from online communications.
218,659686,takes more time to clean myself and everything i touch. not talking to people as much in store. stocking up on things and going to store more to see if they got things in that they are out of
219,873644,IT WAS REALLY BAD DISEASE
220,678634,I have this constant feeling of uncertainty. I am most distressed by the fact that I can't distinguish between what's real and what's sensational BS. This brings me a lot of stress.
