"participant_id","occasion_id","group","b_demo_age_1","b_demo_gender_1","b_demo_education_1","b_demo_work_1_rec","b_demo_kids_1_rec","b_corona_risk_1","app_group","b_igts_belief","b_igts_prefer","f_install","f_install_reason_1","f_install_other_1","f_app_risk","f_app_risk_other","f_bluetooth","f_install_reason_2","f_install_other_2","f_install_reason_3","f_install_other_3","f_advertisement","f_app_relevant_information","f_first_nonNA","f_fst_chng_2or3_to_1","f_ever_installed","f_app_risk_once","f_install_other_1_coded","f_install_other_1_coded_new","f_install_other_3_coded","f_install_other_3_coded_new"
41,118307,1,30,2,20,"Voll erwerbstätig",0,2,2,5,5.75,2,NA,NA,NA,NA,NA,NA,NA,"1",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
42,67039,2,30,2,21,"Voll erwerbstätig",0,2,2,5.2,5.5,2,NA,NA,NA,NA,NA,NA,NA,"1, 5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
44,1979,1,26,2,18,"in Ausbildung",0,2,1,4.8,4,1,"2, 4",NA,1,NA,3,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
45,84070,2,32,2,13,"Voll erwerbstätig",0,2,2,2.8,1.25,2,NA,NA,NA,NA,NA,NA,NA,"1, 4, 8","Ich möchte nicht permanent die Bluetooth funktion aktiviert haben",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","15","M"
47,12203,1,30,2,18,"Voll erwerbstätig",0,2,1,4.2,4.75,1,"1, 2, 3",NA,1,NA,2,"2",NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
51,105500,2,48,2,19,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,2,4.6,NA,2,NA,NA,NA,NA,NA,NA,NA,"1, 5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
52,117110,2,26,2,12,"Voll erwerbstätig",0,2,1,4.8,4.75,1,"1, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
54,30525,1,33,1,26,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,4,3.75,1,"2, 3, 4, 5",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
55,23067,2,31,2,18,"Voll erwerbstätig",0,2,1,4.2,NA,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
56,54443,2,34,1,19,"Voll erwerbstätig",0,2,1,4.4,5,1,"1, 2, 3",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
57,80863,2,34,2,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,1,1,3.2,3,1,"1, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
62,54727,1,21,2,15,"in Ausbildung",0,1,1,4.8,6.75,1,"1, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
63,112002,2,51,2,18,"Voll erwerbstätig",1,2,1,5,4.5,1,"2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
65,49700,2,29,2,20,"in Ausbildung",0,2,1,4.2,NA,1,"1, 2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
66,92648,2,52,2,17,"Voll erwerbstätig",0,2,1,6,4.75,1,"4, 5",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
70,2345,1,21,1,12,"in Ausbildung",0,2,1,3.4,4.5,1,"1, 3, 4",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
73,82207,1,58,2,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,5.2,6,1,"1, 2, 4",NA,1,NA,2,"6",NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
75,29804,2,70,2,13,"Sonstiges",1,2,1,3.2,4.75,1,"1, 2, 3",NA,5,"Kein Risiko angezeigt",1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
76,20143,2,46,1,18,"Voll erwerbstätig",NA,1,2,5,5.25,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
80,107208,1,38,2,20,"Voll erwerbstätig",0,2,1,5.4,4,1,"1, 2, 5",NA,2,NA,2,"2",NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
82,3752,1,24,2,14,"in Ausbildung",0,2,2,2.4,4,2,NA,NA,NA,NA,NA,NA,NA,"4, 8","Mögliches staatliches Kontrollmittel",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","3","A"
84,41718,2,37,1,21,"Voll erwerbstätig",0,2,1,4.8,5.75,1,"1, 2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
92,25869,1,27,2,19,"Voll erwerbstätig",0,2,1,4.8,4.75,1,"2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
94,109526,2,46,2,18,"in Ausbildung",1,2,2,7,5.5,2,NA,NA,NA,NA,NA,NA,NA,"8","Informationsmangel",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","14a","E"
98,75575,1,53,2,16,"Voll erwerbstätig",0,2,1,5.4,4.5,1,"1, 2, 3, 4",NA,1,NA,2,"7","zu Hause bleiben Standort und Bluetooth ausgeschaltet",NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
103,74935,1,31,2,20,"in Ausbildung",0,2,2,3.6,5.25,2,NA,NA,NA,NA,NA,NA,NA,"8","Noch keine Zeit gehabt, mich vorher darüber zu informieren",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","14a","E"
107,103341,2,58,2,20,"Nicht erwerbstätig",0,2,1,5.2,4.75,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
113,51474,2,52,2,20,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,3.8,5.25,1,"4",NA,1,NA,2,"2, 7","Wenn ich allein Zuhause bin schalte ich mein Smartphone meist offline",NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
114,91984,1,41,2,NA,"Voll erwerbstätig",0,1,1,4.8,5.25,1,"4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
119,61647,1,41,2,19,"Voll erwerbstätig",0,2,1,4.4,5.25,1,"1",NA,2,NA,3,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
123,115506,1,48,2,17,"Sonstiges",0,1,1,4.6,5.25,1,"1, 2, 4, 5",NA,2,NA,3,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
124,103273,2,68,2,10,"Nicht erwerbstätig",1,2,1,3,3.75,1,"6","Ich bin eigentlich noch nicht v.d.Notwendigkeit überzeugt",4,NA,3,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,"14","","",""
125,108841,1,54,2,18,"Sonstiges",1,2,2,4.8,5.5,2,NA,NA,NA,NA,NA,NA,NA,"4, 5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
128,92042,2,44,2,20,"Voll erwerbstätig",0,2,1,4.4,4.25,1,"1, 2, 4",NA,4,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
129,3714,1,33,2,NA,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,5.2,6,1,"1",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
133,77796,1,57,2,17,"Sonstiges",0,1,2,2.8,4.5,2,NA,NA,NA,NA,NA,NA,NA,"1",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
135,8999,2,33,2,19,"Voll erwerbstätig",0,2,1,5.4,4.75,1,"2, 4",NA,2,NA,2,"7","Ich war fast den ganzen Tag allein zu Hause",NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
137,82945,2,40,2,18,"Voll erwerbstätig",0,2,1,5,4,1,"1, 3",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
138,66437,1,40,1,17,"Nicht erwerbstätig",1,2,2,4.4,3.75,2,NA,NA,NA,NA,NA,NA,NA,"4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
139,3448,1,48,2,21,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,3.2,2.25,1,"1, 2, 4, 5",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
145,10333,1,24,2,17,"in Ausbildung",0,2,4,5.6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
147,76449,1,46,2,18,"Voll erwerbstätig",0,2,1,5.6,4.75,1,"1, 3, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
148,40455,2,59,2,11,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,5.8,3.5,1,"1",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
154,102824,1,54,1,14,"Nicht erwerbstätig",1,1,1,4.2,5.75,1,"2, 3, 4",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
155,100173,1,66,2,19,"Nicht erwerbstätig",1,1,1,5,5.25,1,"2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
158,8370,1,20,2,14,"in Ausbildung",0,1,1,4.6,3.75,1,"1, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
163,9674,2,24,2,17,"in Ausbildung",0,2,2,4.4,4.25,2,NA,NA,NA,NA,NA,NA,NA,"5, 8","Notwendigkeit Google Play Services zu nutzen, was ich bisher nie getan und eigentlich vermeiden wollte",1,TRUE,TRUE,FALSE,FALSE,FALSE,"","","1",""
166,31553,2,54,2,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,1,1,4.6,5,1,"2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
167,99232,2,33,2,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,2,5,4.25,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
169,13714,2,30,1,21,"in Ausbildung",0,2,2,5.4,4.25,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
176,10466,1,19,2,14,"in Ausbildung",0,2,2,5.4,5.25,2,NA,NA,NA,NA,NA,NA,NA,"1, 2",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
180,115259,2,72,2,13,"Nicht erwerbstätig",0,2,1,4,4.5,1,"1, 2, 3, 4",NA,1,NA,2,"7","Eben erst installiert ",NA,NA,1,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
181,54546,1,24,2,17,"in Ausbildung",0,2,1,3.4,3,1,"1, 2, 4",NA,1,NA,2,"2, 7","Wenn ich alleine zuhause bin, schalte ich Bluetooth und Standort aus",NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
186,10255,2,28,2,19,"Voll erwerbstätig",0,2,1,2.2,3.25,1,"1, 3, 4",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
187,14293,2,49,2,21,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,5.2,4.5,1,"1, 2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
189,39843,2,79,2,10,"Keine Angabe",1,2,1,4.6,5.5,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
196,47433,1,29,2,19,"Voll erwerbstätig",0,2,1,3.8,3.5,1,"1, 2, 4",NA,2,NA,2,"6",NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
197,117382,2,35,2,19,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,4.8,4.5,1,"1, 2, 4",NA,1,NA,2,"2, 6",NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
198,109900,1,49,2,18,"Voll erwerbstätig",0,2,2,4.4,5,2,NA,NA,NA,NA,NA,NA,NA,"5, 8","habe mich noch nicht ausgiebig mit der App beschäftigt",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","14a","E"
199,14753,2,25,2,19,"in Ausbildung",0,2,2,5,3.5,2,NA,NA,NA,NA,NA,NA,NA,"1, 3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
201,36466,1,63,1,18,"Voll erwerbstätig",1,2,2,3.4,6,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
203,89422,1,40,2,21,"Voll erwerbstätig",0,2,2,4,3.5,2,NA,NA,NA,NA,NA,NA,NA,"1, 6",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
204,74348,1,46,2,19,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,1,1,4.8,4.75,1,"1, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
206,9619,2,46,2,18,"Voll erwerbstätig",1,2,1,3,4.5,1,"1, 2, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
207,116915,2,48,1,19,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,5,4,1,"1, 3",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
208,16562,2,33,1,24,"Voll erwerbstätig",0,2,1,3.2,4.75,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
210,86031,1,21,2,14,"in Ausbildung",0,1,2,4.6,4.25,2,NA,NA,NA,NA,NA,NA,NA,"1",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
211,54939,1,67,2,10,"Keine Angabe",0,2,1,5.6,5.25,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
212,56876,1,67,2,24,"in Ausbildung",0,2,2,2.6,4,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
213,86587,2,53,2,19,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,4.4,5.5,1,"1",NA,2,NA,2,"2, 6",NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
214,42915,1,49,2,NA,"Voll erwerbstätig",1,2,2,2.8,4.75,2,NA,NA,NA,NA,NA,NA,NA,"4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
215,105023,1,87,2,12,"Nicht erwerbstätig",1,2,2,5.6,5,2,NA,NA,NA,NA,NA,NA,NA,"5",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
220,105185,2,55,2,16,"Voll erwerbstätig",0,2,1,2.8,3.5,1,"1, 2, 4",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
221,67675,1,39,2,16,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,5.4,4.5,1,"1, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
225,117369,1,24,1,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,3.2,4.75,1,"2",NA,2,NA,2,"2",NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
229,11454,1,41,2,19,"in Ausbildung",1,1,1,5,6.25,1,"1, 2, 5",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
233,1097,2,20,2,14,"in Ausbildung",0,2,1,4.6,4.5,1,"1, 2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
234,29924,2,47,2,12,"Voll erwerbstätig",1,2,1,3.8,3.5,1,"1, 2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
236,63700,1,62,2,20,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,5.2,4.75,1,"1, 2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
238,118091,1,64,1,10,"Nicht erwerbstätig",1,2,1,5.4,5.5,1,"1, 2, 3, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
240,116124,1,59,2,16,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,2,1.6,3,2,NA,NA,NA,NA,NA,NA,NA,"1, 3, 4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
243,51428,2,63,2,17,"Voll erwerbstätig",0,2,2,4,4.75,2,NA,NA,NA,NA,NA,NA,NA,"1",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
245,110829,1,68,2,14,"Nicht erwerbstätig",1,2,2,3.6,4.25,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
246,100153,1,34,3,25,"Voll erwerbstätig",0,2,1,5.4,5,1,"2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
247,77010,2,42,2,24,"Voll erwerbstätig",0,2,1,3.8,2.5,1,"1, 2",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
249,98933,1,58,2,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,1,1,4.8,3.5,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
252,49481,1,29,2,20,"in Ausbildung",0,2,1,4.8,4.5,1,"1, 2, 3, 4",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
255,69102,1,45,1,24,"Voll erwerbstätig",1,2,2,5,4.5,2,NA,NA,NA,NA,NA,NA,NA,"1, 4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
259,111112,1,34,1,23,"Voll erwerbstätig",1,2,1,4.2,6,1,"1, 2",NA,1,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
263,97767,1,31,1,19,"Sonstiges",0,2,2,4.6,4.5,2,NA,NA,NA,NA,NA,NA,NA,"2, 4",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
267,48944,1,57,1,12,"Voll erwerbstätig",1,2,1,4,4.25,1,"2, 4",NA,2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
268,44859,2,43,2,NA,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,7,5.5,1,"1",NA,5,"Bluetooth ist nicht aktiviert ",2,"2",NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
273,53095,2,30,2,22,"in Ausbildung",0,2,1,4,4.5,1,"2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
274,60765,2,27,2,17,"in Ausbildung",0,2,1,1.8,2.25,1,"2, 4",NA,1,NA,2,"7","Ich war den ganzen Tag zu Hause und hatte keinen Besuch ",NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
276,113594,1,49,2,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,1,2,2.8,3.75,2,NA,NA,NA,NA,NA,NA,NA,"8","Ich besitze kein Smartphone. So wie übrigens viele andere auch. Und mein Mann besitzt zwar eins, aber kann die App nicht installieren. Weil das Smartphone 1 Jahr alt ist.",2,TRUE,TRUE,FALSE,FALSE,FALSE,"","","C","C"
